dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,MC-ODXT,10,1,0.020792,1,measured
Crime,MC-ODXT,10,2,0.0165,1,measured
Crime,MC-ODXT,10,3,0.018458,1,measured
Crime,MC-ODXT,10,4,0.025542,1,measured
Crime,MC-ODXT,10,5,0.02175,1,measured
Crime,MC-ODXT,10,6,0.024583,1,measured
Crime,MC-ODXT,10,7,0.020875,1,measured
Crime,MC-ODXT,10,8,0.020666,1,measured
Crime,MC-ODXT,10,9,0.019958,1,measured
Crime,MC-ODXT,10,10,0.018709,1,measured
Crime,MC-ODXT,10,11,0.020209,1,measured
Crime,MC-ODXT,10,12,0.015999,1,measured
Crime,MC-ODXT,10,13,0.023375,1,measured
Crime,MC-ODXT,10,14,0.015875,1,measured
Crime,MC-ODXT,10,15,0.016876,1,measured
Crime,MC-ODXT,10,16,0.014625,1,measured
Crime,MC-ODXT,10,17,0.018125,1,measured
Crime,MC-ODXT,10,18,0.016708,1,measured
Crime,MC-ODXT,10,19,0.017708,1,measured
Crime,MC-ODXT,10,20,0.015874,1,measured
Crime,MC-ODXT,10,21,0.020167,1,measured
Crime,MC-ODXT,10,22,0.017917,1,measured
Crime,MC-ODXT,10,23,0.019917,1,measured
Crime,MC-ODXT,10,24,0.017625,1,measured
Crime,MC-ODXT,10,25,0.015667,1,measured
Crime,MC-ODXT,10,26,0.018999,1,measured
Crime,MC-ODXT,10,27,0.017875,1,measured
Crime,MC-ODXT,10,28,0.026001,1,measured
Crime,MC-ODXT,10,29,0.017749,1,measured
Crime,MC-ODXT,10,30,0.015709,1,measured
Crime,MC-ODXT,10,31,0.016625,1,measured
Crime,MC-ODXT,10,32,0.017666,1,measured
Crime,MC-ODXT,10,33,0.016626,1,measured
Crime,MC-ODXT,10,34,0.021375,1,measured
Crime,MC-ODXT,10,35,0.019042,1,measured
Crime,MC-ODXT,10,36,0.018042,1,measured
Crime,MC-ODXT,10,37,0.018583,1,measured
Crime,MC-ODXT,10,38,0.018874,1,measured
Crime,MC-ODXT,10,39,0.018958,1,measured
Crime,MC-ODXT,10,40,0.017874,1,measured
Crime,MC-ODXT,10,41,0.017209,1,measured
Crime,MC-ODXT,10,42,0.017293,1,measured
Crime,MC-ODXT,10,43,0.018334,1,measured
Crime,MC-ODXT,10,44,0.016958,1,measured
Crime,MC-ODXT,10,45,0.021084,1,measured
Crime,MC-ODXT,10,46,0.016792,1,measured
Crime,MC-ODXT,10,47,0.017001,1,measured
Crime,MC-ODXT,10,48,0.018833,1,measured
Crime,MC-ODXT,10,49,0.019501,1,measured
Crime,MC-ODXT,10,50,0.020667,1,measured
Crime,MC-ODXT,10,51,0.016541,1,measured
Crime,MC-ODXT,10,52,0.020292,1,measured
Crime,MC-ODXT,10,53,0.018666,1,measured
Crime,MC-ODXT,10,54,0.017667,1,measured
Crime,MC-ODXT,10,55,0.014875,1,measured
Crime,MC-ODXT,10,56,0.017916,1,measured
Crime,MC-ODXT,10,57,0.019,1,measured
Crime,MC-ODXT,10,58,0.015916,1,measured
