dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Enron,MC-ODXT,10,10,24.8393,1
Enron,MC-ODXT,10,37,24.8115,1
Enron,MC-ODXT,10,38,24.879,1
Enron,MC-ODXT,10,39,24.6571,1
Enron,MC-ODXT,10,40,57.247,1
Enron,MC-ODXT,10,41,24.4535,1
Enron,MC-ODXT,10,42,24.2427,1
Enron,MC-ODXT,10,43,24.9095,1
Enron,MC-ODXT,10,44,24.4327,1
Enron,MC-ODXT,10,45,24.773,1
Enron,MC-ODXT,10,46,25.4761,1
Enron,MC-ODXT,10,47,24.4606,1
Enron,MC-ODXT,10,48,24.1667,1
Enron,MC-ODXT,10,49,24.1855,1
Enron,MC-ODXT,10,50,24.3916,1
Enron,MC-ODXT,10,51,23.2949,1
Enron,MC-ODXT,10,52,24.1938,1
Enron,MC-ODXT,10,53,24.3352,1
Enron,MC-ODXT,10,54,25.6708,1
Enron,MC-ODXT,10,55,25.1805,1
Enron,MC-ODXT,10,56,24.4279,1
Enron,MC-ODXT,10,57,24.173,1
Enron,MC-ODXT,10,58,27.2131,1
Enron,MC-ODXT,10,59,25.4696,1
Enron,MC-ODXT,10,60,24.8409,1
Enron,MC-ODXT,10,61,24.9097,1
Enron,MC-ODXT,10,62,25.9884,1
Enron,MC-ODXT,10,63,31.6819,1
Enron,MC-ODXT,10,64,27.8924,1
Enron,MC-ODXT,10,65,24.5242,1
Enron,MC-ODXT,10,66,26.3218,1
Enron,MC-ODXT,10,67,28.8248,1
Enron,MC-ODXT,10,68,24.4082,1
Enron,MC-ODXT,10,69,24.6857,1
Enron,MC-ODXT,10,70,24.8127,1
Enron,MC-ODXT,10,71,27.8419,1
Enron,MC-ODXT,10,72,24.0467,1
Enron,MC-ODXT,10,73,34.0291,1
Enron,MC-ODXT,10,74,25.8719,1
Enron,MC-ODXT,10,75,24.4924,1
Enron,MC-ODXT,10,76,24.7922,1
Enron,MC-ODXT,10,77,23.5085,1
Enron,MC-ODXT,10,78,25.23,1
Enron,MC-ODXT,10,79,24.3331,1
Enron,MC-ODXT,10,80,24.4237,1
Enron,MC-ODXT,10,81,24.3482,1
Enron,MC-ODXT,10,82,24.4921,1
Enron,MC-ODXT,10,83,24.4695,1
Enron,MC-ODXT,10,84,24.2418,1
Enron,MC-ODXT,10,85,24.2049,1
Enron,MC-ODXT,10,86,25.718,1
Enron,MC-ODXT,10,87,24.1596,1
Enron,MC-ODXT,10,88,29.4332,1
Enron,MC-ODXT,10,89,25.4877,1
Enron,MC-ODXT,10,90,24.4273,1
Enron,MC-ODXT,10,91,25.4361,1
Enron,MC-ODXT,10,92,25.9148,1
Enron,MC-ODXT,10,93,26.0805,1
Enron,MC-ODXT,10,94,37.0131,1
Enron,MC-ODXT,10,95,30.2781,1
Enron,MC-ODXT,10,96,25.9283,1
Enron,MC-ODXT,10,97,26.7613,1
Enron,MC-ODXT,10,98,23.9835,1
Enron,MC-ODXT,10,99,24.1356,1
Enron,MC-ODXT,10,100,24.7668,1
Enron,MC-ODXT,10,101,23.5982,1
Enron,MC-ODXT,10,102,24.7816,1
Enron,MC-ODXT,10,103,26.6893,1
Enron,MC-ODXT,10,104,23.6535,1
Enron,MC-ODXT,10,105,23.9029,1
Enron,MC-ODXT,10,106,24.2149,1
Enron,MC-ODXT,10,107,26.894,1
Enron,MC-ODXT,10,108,24.0489,1
Enron,MC-ODXT,10,109,23.8765,1
Enron,MC-ODXT,10,110,26.1806,1
Enron,MC-ODXT,10,111,24.0941,1
Enron,MC-ODXT,10,112,24.2494,1
Enron,MC-ODXT,10,113,24.1487,1
Enron,MC-ODXT,10,114,24.0496,1
Enron,MC-ODXT,10,115,23.8175,1
Enron,MC-ODXT,10,116,24.2203,1
Enron,MC-ODXT,10,117,24.0195,1
Enron,MC-ODXT,10,118,24.5135,1
Enron,MC-ODXT,10,119,23.7285,1
Enron,MC-ODXT,10,120,23.8916,1
Enron,MC-ODXT,10,121,24.3882,1
Enron,MC-ODXT,10,122,25.5852,1
Enron,MC-ODXT,10,123,24.5831,1
Enron,MC-ODXT,10,124,24.4654,1
Enron,MC-ODXT,10,125,24.6222,1
Enron,MC-ODXT,10,126,23.9642,1
Enron,MC-ODXT,10,127,24.9115,1
Enron,MC-ODXT,10,128,27.5015,1
Enron,MC-ODXT,10,129,26.3212,1
Enron,MC-ODXT,10,130,26.5479,1
Enron,MC-ODXT,10,131,24.3867,1
Enron,MC-ODXT,10,132,24.91,1
Enron,MC-ODXT,10,133,23.58,1
Enron,MC-ODXT,10,134,27.5272,1
Enron,MC-ODXT,10,135,23.793,1
Enron,MC-ODXT,10,136,24.4277,1
Enron,MC-ODXT,10,137,27.2201,1
Enron,MC-ODXT,10,138,24.5566,1
Enron,MC-ODXT,10,139,24.7378,1
Enron,MC-ODXT,10,140,23.6847,1
Enron,MC-ODXT,10,141,23.7631,1
Enron,MC-ODXT,10,142,23.6338,1
Enron,MC-ODXT,10,143,24.3837,1
Enron,MC-ODXT,10,144,24.0912,1
Enron,MC-ODXT,10,145,24.2305,1
Enron,MC-ODXT,10,146,25.6464,1
Enron,MC-ODXT,10,147,28.2848,1
Enron,MC-ODXT,10,148,24.4916,1
Enron,MC-ODXT,10,149,24.7249,1
Enron,MC-ODXT,10,150,23.7755,1
Enron,MC-ODXT,10,151,24.2834,1
Enron,MC-ODXT,10,152,25.3257,1
Enron,MC-ODXT,10,153,24.946,1
Enron,MC-ODXT,10,154,24.245,1
Enron,MC-ODXT,10,155,29.1915,1
Enron,MC-ODXT,10,156,26.5162,1
Enron,MC-ODXT,10,157,28.3583,1
Enron,MC-ODXT,10,158,23.5059,1
Enron,MC-ODXT,10,159,25.7454,1
Enron,MC-ODXT,10,160,25.3762,1
Enron,MC-ODXT,10,161,24.9234,1
Enron,MC-ODXT,10,162,26.8282,1
Enron,MC-ODXT,10,163,26.3668,1
Enron,MC-ODXT,10,164,24.3995,1
Enron,MC-ODXT,10,165,24.4479,1
Enron,MC-ODXT,10,166,23.9104,1
Enron,MC-ODXT,10,167,25.5374,1
Enron,MC-ODXT,10,168,23.7583,1
Enron,MC-ODXT,10,169,24.5462,1
Enron,MC-ODXT,10,170,24.4491,1
Enron,MC-ODXT,10,171,23.5396,1
Enron,MC-ODXT,10,172,26.567,1
Enron,MC-ODXT,10,173,27.6257,1
Enron,MC-ODXT,10,174,28.3148,1
Enron,MC-ODXT,10,175,27.2613,1
Enron,MC-ODXT,10,176,27.3693,1
Enron,MC-ODXT,10,177,32.906,1
Enron,MC-ODXT,10,178,32.8973,1
Enron,MC-ODXT,10,179,26.103,1
Enron,MC-ODXT,10,180,30.2095,1
Enron,MC-ODXT,10,181,24.9537,1
