dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Wiki,MC-ODXT,10,1,0.019042,1,measured
Wiki,MC-ODXT,10,2,0.020209,1,measured
Wiki,MC-ODXT,10,3,0.019458,1,measured
Wiki,MC-ODXT,10,4,0.022333,1,measured
Wiki,MC-ODXT,10,5,0.021959,1,measured
Wiki,MC-ODXT,10,6,0.018125,1,measured
Wiki,MC-ODXT,10,7,0.017459,1,measured
Wiki,MC-ODXT,10,8,0.020917,1,measured
Wiki,MC-ODXT,10,9,0.017668,1,measured
Wiki,MC-ODXT,10,10,0.020042,1,measured
Wiki,MC-ODXT,10,11,0.018792,1,measured
Wiki,MC-ODXT,10,12,0.018251,1,measured
Wiki,MC-ODXT,10,13,0.017208,1,measured
Wiki,MC-ODXT,10,14,0.023083,1,measured
Wiki,MC-ODXT,10,15,0.027499,1,measured
Wiki,MC-ODXT,10,16,0.022708,1,measured
Wiki,MC-ODXT,10,17,0.0225,1,measured
Wiki,MC-ODXT,10,18,0.021167,1,measured
Wiki,MC-ODXT,10,19,0.019417,1,measured
Wiki,MC-ODXT,10,20,0.021708,1,measured
Wiki,MC-ODXT,10,21,0.021084,1,measured
Wiki,MC-ODXT,10,22,0.023,1,measured
Wiki,MC-ODXT,10,23,0.017875,1,measured
Wiki,MC-ODXT,10,24,0.018208,1,measured
Wiki,MC-ODXT,10,25,0.021958,1,measured
Wiki,MC-ODXT,10,26,0.022917,1,measured
Wiki,MC-ODXT,10,27,0.020958,1,measured
Wiki,MC-ODXT,10,28,0.021251,1,measured
Wiki,MC-ODXT,10,29,0.020458,1,measured
Wiki,MC-ODXT,10,30,0.02025,1,measured
Wiki,MC-ODXT,10,31,0.021751,1,measured
Wiki,MC-ODXT,10,32,0.023791,1,measured
Wiki,MC-ODXT,10,33,0.022667,1,measured
Wiki,MC-ODXT,10,34,0.018833,1,measured
Wiki,MC-ODXT,10,35,0.019041,1,measured
Wiki,MC-ODXT,10,36,0.021708,1,measured
Wiki,MC-ODXT,10,37,0.023125,1,measured
Wiki,MC-ODXT,10,38,0.027375,1,measured
Wiki,MC-ODXT,10,39,0.024959,1,measured
Wiki,MC-ODXT,10,40,0.022375,1,measured
Wiki,MC-ODXT,10,41,0.029166,1,measured
Wiki,MC-ODXT,10,42,0.027625,1,measured
Wiki,MC-ODXT,10,43,0.0245,1,measured
Wiki,MC-ODXT,10,44,0.023209,1,measured
Wiki,MC-ODXT,10,45,0.027124,1,measured
Wiki,MC-ODXT,10,46,0.028583,1,measured
Wiki,MC-ODXT,10,47,0.030043,1,measured
Wiki,MC-ODXT,10,48,0.026417,1,measured
Wiki,MC-ODXT,10,49,0.025624,1,measured
Wiki,MC-ODXT,10,50,0.023334,1,measured
Wiki,MC-ODXT,10,51,0.030166,1,measured
Wiki,MC-ODXT,10,52,0.025834,1,measured
Wiki,MC-ODXT,10,53,0.027834,1,measured
Wiki,MC-ODXT,10,54,0.043084,1,measured
Wiki,MC-ODXT,10,55,0.029626,1,measured
Wiki,MC-ODXT,10,56,0.028792,1,measured
Wiki,MC-ODXT,10,57,0.029251,1,measured
Wiki,MC-ODXT,10,58,0.026292,1,measured
Wiki,MC-ODXT,10,59,0.023625,1,measured
Wiki,MC-ODXT,10,60,0.022999,1,measured
Wiki,MC-ODXT,10,61,0.065666,1,measured
Wiki,MC-ODXT,10,62,0.0525,1,measured
Wiki,MC-ODXT,10,63,0.0255,1,measured
Wiki,MC-ODXT,10,64,0.026,1,measured
Wiki,MC-ODXT,10,65,0.021375,1,measured
Wiki,MC-ODXT,10,66,0.021292,1,measured
Wiki,MC-ODXT,10,67,0.027333,1,measured
Wiki,MC-ODXT,10,68,0.024291,1,measured
Wiki,MC-ODXT,10,69,0.030375,1,measured
Wiki,MC-ODXT,10,70,0.0215,1,measured
Wiki,MC-ODXT,10,71,0.02425,1,measured
Wiki,MC-ODXT,10,72,0.027708,1,measured
Wiki,MC-ODXT,10,73,0.026667,1,measured
Wiki,MC-ODXT,10,74,0.020374,1,measured
Wiki,MC-ODXT,10,75,0.020958,1,measured
Wiki,MC-ODXT,10,76,0.029125,1,measured
Wiki,MC-ODXT,10,77,0.025042,1,measured
Wiki,MC-ODXT,10,78,0.0195,1,measured
Wiki,MC-ODXT,10,79,0.021542,1,measured
Wiki,MC-ODXT,10,80,0.018291,1,measured
Wiki,MC-ODXT,10,81,0.022376,1,measured
Wiki,MC-ODXT,10,82,0.021292,1,measured
Wiki,MC-ODXT,10,83,0.026332,1,measured
Wiki,MC-ODXT,10,84,0.025125,1,measured
Wiki,MC-ODXT,10,85,0.022083,1,measured
Wiki,MC-ODXT,10,86,0.020333,1,measured
Wiki,MC-ODXT,10,87,0.02075,1,measured
Wiki,MC-ODXT,10,88,0.019167,1,measured
Wiki,MC-ODXT,10,89,0.019375,1,measured
Wiki,MC-ODXT,10,90,0.017209,1,measured
Wiki,MC-ODXT,10,91,0.019209,1,measured
Wiki,MC-ODXT,10,92,0.020041,1,measured
Wiki,MC-ODXT,10,93,0.019542,1,measured
Wiki,MC-ODXT,10,94,0.024292,1,measured
Wiki,MC-ODXT,10,95,0.019583,1,measured
Wiki,MC-ODXT,10,96,0.018667,1,measured
Wiki,MC-ODXT,10,97,0.019916,1,measured
Wiki,MC-ODXT,10,98,0.017833,1,measured
Wiki,MC-ODXT,10,99,0.022375,1,measured
Wiki,MC-ODXT,10,100,0.017626,1,measured
Wiki,MC-ODXT,10,101,0.016876,1,measured
Wiki,MC-ODXT,10,102,0.016333,1,measured
Wiki,MC-ODXT,10,103,0.017917,1,measured
Wiki,MC-ODXT,10,104,0.022209,1,measured
Wiki,MC-ODXT,10,105,0.022209,1,measured
Wiki,MC-ODXT,10,106,0.020791,1,measured
Wiki,MC-ODXT,10,107,0.02225,1,measured
Wiki,MC-ODXT,10,108,0.020874,1,measured
Wiki,MC-ODXT,10,109,0.019375,1,measured
Wiki,MC-ODXT,10,110,0.017834,1,measured
Wiki,MC-ODXT,10,111,0.019916,1,measured
Wiki,MC-ODXT,10,112,0.020416,1,measured
Wiki,MC-ODXT,10,113,0.019208,1,measured
Wiki,MC-ODXT,10,114,0.020751,1,measured
Wiki,MC-ODXT,10,115,0.016207,1,measured
Wiki,MC-ODXT,10,116,0.032417,1,measured
Wiki,MC-ODXT,10,117,0.039084,1,measured
Wiki,MC-ODXT,10,118,0.024792,1,measured
Wiki,MC-ODXT,10,119,0.022,1,measured
Wiki,MC-ODXT,10,120,0.022501,1,measured
Wiki,MC-ODXT,10,121,0.022292,1,measured
Wiki,MC-ODXT,10,122,0.021041,1,measured
Wiki,MC-ODXT,10,123,0.018166,1,measured
Wiki,MC-ODXT,10,124,0.020374,1,measured
Wiki,MC-ODXT,10,125,0.021291,1,measured
Wiki,MC-ODXT,10,126,0.030459,1,measured
Wiki,MC-ODXT,10,127,0.031208,1,measured
Wiki,MC-ODXT,10,128,0.023917,1,measured
Wiki,MC-ODXT,10,129,0.027334,1,measured
Wiki,MC-ODXT,10,130,0.020917,1,measured
Wiki,MC-ODXT,10,131,0.022166,1,measured
Wiki,MC-ODXT,10,132,0.020917,1,measured
Wiki,MC-ODXT,10,133,0.02175,1,measured
Wiki,MC-ODXT,10,134,0.023001,1,measured
Wiki,MC-ODXT,10,135,0.022083,1,measured
Wiki,MC-ODXT,10,136,0.019459,1,measured
Wiki,MC-ODXT,10,137,0.022709,1,measured
Wiki,MC-ODXT,10,138,0.025666,1,measured
Wiki,MC-ODXT,10,139,0.020583,1,measured
Wiki,MC-ODXT,10,140,0.021458,1,measured
Wiki,MC-ODXT,10,141,0.023083,1,measured
Wiki,MC-ODXT,10,142,0.021375,1,measured
Wiki,MC-ODXT,10,143,0.026126,1,measured
Wiki,MC-ODXT,10,144,0.023,1,measured
Wiki,MC-ODXT,10,145,0.019125,1,measured
Wiki,MC-ODXT,10,146,0.024459,1,measured
Wiki,MC-ODXT,10,147,0.022876,1,measured
Wiki,MC-ODXT,10,148,0.023708,1,measured
Wiki,MC-ODXT,10,149,0.024874,1,measured
Wiki,MC-ODXT,10,150,0.024,1,measured
Wiki,MC-ODXT,10,151,0.022625,1,measured
Wiki,MC-ODXT,10,152,0.020875,1,measured
Wiki,MC-ODXT,10,153,0.05325,1,measured
Wiki,MC-ODXT,10,154,0.023333,1,measured
Wiki,MC-ODXT,10,155,0.024917,1,measured
Wiki,MC-ODXT,10,156,0.024041,1,measured
Wiki,MC-ODXT,10,157,0.021125,1,measured
Wiki,MC-ODXT,10,158,0.020707,1,measured
Wiki,MC-ODXT,10,159,0.023375,1,measured
Wiki,MC-ODXT,10,160,0.025291,1,measured
Wiki,MC-ODXT,10,161,0.028708,1,measured
Wiki,MC-ODXT,10,162,0.01975,1,measured
Wiki,MC-ODXT,10,163,0.024958,1,measured
Wiki,MC-ODXT,10,164,0.020334,1,measured
Wiki,MC-ODXT,10,165,0.023375,1,measured
Wiki,MC-ODXT,10,166,0.021666,1,measured
Wiki,MC-ODXT,10,167,0.020625,1,measured
Wiki,MC-ODXT,10,168,0.022583,1,measured
Wiki,MC-ODXT,10,169,0.036083,1,measured
Wiki,MC-ODXT,10,170,0.0235,1,measured
Wiki,MC-ODXT,10,171,0.020666,1,measured
Wiki,MC-ODXT,10,172,0.025167,1,measured
Wiki,MC-ODXT,10,173,0.021126,1,measured
Wiki,MC-ODXT,10,174,0.021042,1,measured
Wiki,MC-ODXT,10,175,0.023,1,measured
Wiki,MC-ODXT,10,176,0.027417,1,measured
Wiki,MC-ODXT,10,177,0.018167,1,measured
Wiki,MC-ODXT,10,178,0.019458,1,measured
Wiki,MC-ODXT,10,179,0.019459,1,measured
Wiki,MC-ODXT,10,180,0.02325,1,measured
Wiki,MC-ODXT,10,181,0.021709,1,measured
Wiki,MC-ODXT,10,182,0.022167,1,measured
Wiki,MC-ODXT,10,183,0.0215,1,measured
Wiki,MC-ODXT,10,184,0.022583,1,measured
Wiki,MC-ODXT,10,185,0.021249,1,measured
Wiki,MC-ODXT,10,186,0.018833,1,measured
Wiki,MC-ODXT,10,187,0.028542,1,measured
Wiki,MC-ODXT,10,188,0.019041,1,measured
Wiki,MC-ODXT,10,189,0.018875,1,measured
Wiki,MC-ODXT,10,190,0.019501,1,measured
Wiki,MC-ODXT,10,191,0.019792,1,measured
Wiki,MC-ODXT,10,192,0.020334,1,measured
Wiki,MC-ODXT,10,193,0.019999,1,measured
Wiki,MC-ODXT,10,194,0.019791,1,measured
Wiki,MC-ODXT,10,195,0.023375,1,measured
Wiki,MC-ODXT,10,196,0.018833,1,measured
Wiki,MC-ODXT,10,197,0.018333,1,measured
Wiki,MC-ODXT,10,198,0.01875,1,measured
Wiki,MC-ODXT,10,199,0.019792,1,measured
Wiki,MC-ODXT,10,200,0.017958,1,measured
Wiki,MC-ODXT,10,201,0.018542,1,measured
Wiki,MC-ODXT,10,202,0.017042,1,measured
Wiki,MC-ODXT,10,203,0.018333,1,measured
Wiki,MC-ODXT,10,204,0.019084,1,measured
Wiki,MC-ODXT,10,205,0.019626,1,measured
Wiki,MC-ODXT,10,206,0.01825,1,measured
Wiki,MC-ODXT,10,207,0.022124,1,measured
Wiki,MC-ODXT,10,208,0.019624,1,measured
Wiki,MC-ODXT,10,209,0.020791,1,measured
Wiki,MC-ODXT,10,210,0.020666,1,measured
Wiki,MC-ODXT,10,211,0.021293,1,measured
Wiki,MC-ODXT,10,212,0.018708,1,measured
Wiki,MC-ODXT,10,213,0.017834,1,measured
Wiki,MC-ODXT,10,214,0.017333,1,measured
Wiki,MC-ODXT,10,215,0.01875,1,measured
Wiki,MC-ODXT,10,216,0.018459,1,measured
Wiki,MC-ODXT,10,217,0.019917,1,measured
Wiki,MC-ODXT,10,218,0.020709,1,measured
Wiki,MC-ODXT,10,219,0.022208,1,measured
Wiki,MC-ODXT,10,220,0.018167,1,measured
Wiki,MC-ODXT,10,221,0.018958,1,measured
Wiki,MC-ODXT,10,222,0.018916,1,measured
Wiki,MC-ODXT,10,223,0.019959,1,measured
Wiki,MC-ODXT,10,224,0.020333,1,measured
Wiki,MC-ODXT,10,225,0.01775,1,measured
Wiki,MC-ODXT,10,226,0.016917,1,measured
Wiki,MC-ODXT,10,227,0.016791,1,measured
Wiki,MC-ODXT,10,228,0.046375,1,measured
