dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,Nomos,10,1,52.3745,1,measured
Crime,Nomos,10,2,60.9979,1,measured
Crime,Nomos,10,3,61.076,1,measured
Crime,Nomos,10,4,57.332,1,measured
Crime,Nomos,10,5,57.7973,1,measured
Crime,Nomos,10,6,277.102,1,measured
Crime,Nomos,10,7,95.2153,1,measured
Crime,Nomos,10,8,114.778,1,measured
Crime,Nomos,10,9,78.4082,1,measured
Crime,Nomos,10,10,73.5238,1,measured
Crime,Nomos,10,11,73.4636,1,measured
Crime,Nomos,10,12,72.5187,1,measured
Crime,Nomos,10,13,64.3095,1,measured
Crime,Nomos,10,14,59.314,1,measured
Crime,Nomos,10,15,57.4251,1,measured
Crime,Nomos,10,16,57.192,1,measured
Crime,Nomos,10,17,58.219,1,measured
Crime,Nomos,10,18,57.938,1,measured
Crime,Nomos,10,19,57.225,1,measured
Crime,Nomos,10,20,56.4675,1,measured
Crime,Nomos,10,21,57.7932,1,measured
Crime,Nomos,10,22,61.2233,1,measured
Crime,Nomos,10,23,64.3059,1,measured
Crime,Nomos,10,24,64.5038,1,measured
Crime,Nomos,10,25,63.2046,1,measured
Crime,Nomos,10,26,64.2737,1,measured
Crime,Nomos,10,27,64.4319,1,measured
Crime,Nomos,10,28,58.4896,1,measured
Crime,Nomos,10,29,65.009,1,measured
Crime,Nomos,10,30,66.2152,1,measured
Crime,Nomos,10,31,64.6522,1,measured
Crime,Nomos,10,32,64.6115,1,measured
Crime,Nomos,10,33,64.4021,1,measured
Crime,Nomos,10,34,64.2118,1,measured
Crime,Nomos,10,35,64.4985,1,measured
Crime,Nomos,10,36,65.1495,1,measured
Crime,Nomos,10,37,64.6764,1,measured
Crime,Nomos,10,38,64.6274,1,measured
Crime,Nomos,10,39,73.5424,1,measured
Crime,Nomos,10,40,75.2325,1,measured
Crime,Nomos,10,41,64.3425,1,measured
Crime,Nomos,10,42,64.3215,1,measured
Crime,Nomos,10,43,64.0719,1,measured
Crime,Nomos,10,44,58.4587,1,measured
Crime,Nomos,10,45,61.954,1,measured
Crime,Nomos,10,46,65.9324,1,measured
Crime,Nomos,10,47,65.187,1,measured
Crime,Nomos,10,48,64.4468,1,measured
Crime,Nomos,10,49,64.8082,1,measured
Crime,Nomos,10,50,64.2747,1,measured
Crime,Nomos,10,51,64.3939,1,measured
Crime,Nomos,10,52,64.5641,1,measured
Crime,Nomos,10,53,64.8552,1,measured
Crime,Nomos,10,54,66.838,1,measured
Crime,Nomos,10,55,64.2071,1,measured
Crime,Nomos,10,56,65.8145,1,measured
Crime,Nomos,10,57,71.478,1,measured
Crime,Nomos,10,58,64.2258,1,measured
Crime,Nomos,10,59,64.1416,1,measured
Crime,Nomos,10,60,64.3807,1,measured
Crime,Nomos,10,61,62.3595,1,measured
Crime,Nomos,10,62,58.7555,1,measured
Crime,Nomos,10,63,59.3028,1,measured
Crime,Nomos,10,64,67.1468,1,measured
Crime,Nomos,10,65,64.4871,1,measured
Crime,Nomos,10,66,65.0541,1,measured
Crime,Nomos,10,67,64.5882,1,measured
Crime,Nomos,10,68,64.3847,1,measured
Crime,Nomos,10,69,57.6133,1,measured
Crime,Nomos,10,70,57.4956,1,measured
Crime,Nomos,10,71,57.7058,1,measured
Crime,Nomos,10,72,57.5651,1,measured
Crime,Nomos,10,73,57.5008,1,measured
Crime,Nomos,10,74,58.064,1,measured
Crime,Nomos,10,75,57.9536,1,measured
Crime,Nomos,10,76,67.0716,1,measured
Crime,Nomos,10,77,64.3927,1,measured
Crime,Nomos,10,78,64.9885,1,measured
Crime,Nomos,10,79,64.3484,1,measured
Crime,Nomos,10,80,61.1082,1,measured
Crime,Nomos,10,81,60.0754,1,measured
Crime,Nomos,10,82,57.1592,1,measured
Crime,Nomos,10,83,57.8722,1,measured
Crime,Nomos,10,84,57.6854,1,measured
Crime,Nomos,10,85,57.863,1,measured
Crime,Nomos,10,86,64.3632,1,measured
Crime,Nomos,10,87,64.9958,1,measured
Crime,Nomos,10,88,70.9852,1,measured
Crime,Nomos,10,89,64.0774,1,measured
Crime,Nomos,10,90,62.4235,1,measured
Crime,Nomos,10,91,62.55,1,measured
Crime,Nomos,10,92,64.8445,1,measured
Crime,Nomos,10,93,64.0942,1,measured
Crime,Nomos,10,94,71.0932,1,measured
Crime,Nomos,10,95,74.7215,1,measured
Crime,Nomos,10,96,68.879,1,measured
Crime,Nomos,10,97,65.0966,1,measured
Crime,Nomos,10,98,63.1407,1,measured
Crime,Nomos,10,99,57.7503,1,measured
Crime,Nomos,10,100,57.7919,1,measured
Crime,Nomos,10,101,57.3444,1,measured
Crime,Nomos,10,102,53.452,1,measured
Crime,Nomos,10,103,53.5662,1,measured
Crime,Nomos,10,104,57.8314,1,measured
Crime,Nomos,10,105,58.5339,1,measured
Crime,Nomos,10,106,57.7547,1,measured
Crime,Nomos,10,107,58.058,1,measured
Crime,Nomos,10,108,56.4578,1,measured
Crime,Nomos,10,109,52.62,1,measured
Crime,Nomos,10,110,57.4407,1,measured
Crime,Nomos,10,111,55.6466,1,measured
Crime,Nomos,10,112,57.958,1,measured
Crime,Nomos,10,113,57.3626,1,measured
Crime,Nomos,10,114,55.569,1,measured
Crime,Nomos,10,115,57.7059,1,measured
Crime,Nomos,10,116,58.0134,1,measured
Crime,Nomos,10,117,61.4055,1,measured
Crime,Nomos,10,118,72.6817,1,measured
Crime,Nomos,10,119,59.0746,1,measured
Crime,Nomos,10,120,57.8064,1,measured
Crime,Nomos,10,121,57.4694,1,measured
Crime,Nomos,10,122,52.6618,1,measured
Crime,Nomos,10,123,52.7426,1,measured
Crime,Nomos,10,124,52.7996,1,measured
Crime,Nomos,10,125,52.9209,1,measured
Crime,Nomos,10,126,55.5567,1,measured
Crime,Nomos,10,127,57.9993,1,measured
Crime,Nomos,10,128,55.0018,1,measured
Crime,Nomos,10,129,53.2319,1,measured
Crime,Nomos,10,130,52.6224,1,measured
Crime,Nomos,10,131,52.7047,1,measured
Crime,Nomos,10,132,52.2242,1,measured
Crime,Nomos,10,133,53.0578,1,measured
Crime,Nomos,10,134,52.6086,1,measured
Crime,Nomos,10,135,52.3945,1,measured
Crime,Nomos,10,136,52.5343,1,measured
Crime,Nomos,10,137,54.2487,1,measured
Crime,Nomos,10,138,57.9235,1,measured
Crime,Nomos,10,139,57.4286,1,measured
Crime,Nomos,10,140,56.7198,1,measured
Crime,Nomos,10,141,59.8007,1,measured
Crime,Nomos,10,142,71.6764,1,measured
Crime,Nomos,10,143,57.9744,1,measured
Crime,Nomos,10,144,56.8095,1,measured
Crime,Nomos,10,145,52.4638,1,measured
Crime,Nomos,10,146,52.8323,1,measured
Crime,Nomos,10,147,52.6359,1,measured
Crime,Nomos,10,148,52.8243,1,measured
Crime,Nomos,10,149,56.756,1,measured
Crime,Nomos,10,150,58.0005,1,measured
Crime,Nomos,10,151,58.5072,1,measured
Crime,Nomos,10,152,56.3366,1,measured
Crime,Nomos,10,153,55.5538,1,measured
Crime,Nomos,10,154,73.1041,1,measured
Crime,Nomos,10,155,65.2792,1,measured
Crime,Nomos,10,156,65.0774,1,measured
Crime,Nomos,10,157,58.1275,1,measured
Crime,Nomos,10,158,57.9796,1,measured
Crime,Nomos,10,159,58.3154,1,measured
Crime,Nomos,10,160,58.0236,1,measured
Crime,Nomos,10,161,58.0499,1,measured
Crime,Nomos,10,162,54.464,1,measured
Crime,Nomos,10,163,53.1233,1,measured
Crime,Nomos,10,164,52.9948,1,measured
Crime,Nomos,10,165,53.381,1,measured
Crime,Nomos,10,166,54.5715,1,measured
Crime,Nomos,10,167,53.14,1,measured
Crime,Nomos,10,168,53.0542,1,measured
Crime,Nomos,10,169,56.7223,1,measured
Crime,Nomos,10,170,56.6939,1,measured
Crime,Nomos,10,171,55.3115,1,measured
Crime,Nomos,10,172,52.9389,1,measured
Crime,Nomos,10,173,52.7945,1,measured
Crime,Nomos,10,174,52.9552,1,measured
Crime,Nomos,10,175,52.7762,1,measured
Crime,Nomos,10,176,52.9828,1,measured
Crime,Nomos,10,177,52.9334,1,measured
Crime,Nomos,10,178,52.6825,1,measured
Crime,Nomos,10,179,52.9179,1,measured
Crime,Nomos,10,180,52.5628,1,measured
Crime,Nomos,10,181,54.3092,1,measured
Crime,Nomos,10,182,58.5147,1,measured
Crime,Nomos,10,183,55.1998,1,measured
Crime,Nomos,10,184,58.0934,1,measured
Crime,Nomos,10,185,54.417,1,measured
Crime,Nomos,10,186,59.1734,1,measured
Crime,Nomos,10,187,58.2311,1,measured
Crime,Nomos,10,188,57.5452,1,measured
Crime,Nomos,10,189,53.96,1,measured
Crime,Nomos,10,190,52.541,1,measured
Crime,Nomos,10,191,56.7287,1,measured
Crime,Nomos,10,192,57.0491,1,measured
Crime,Nomos,10,193,55.8426,1,measured
Crime,Nomos,10,194,61.4126,1,measured
Crime,Nomos,10,195,57.7373,1,measured
Crime,Nomos,10,196,52.7866,1,measured
Crime,Nomos,10,197,52.4657,1,measured
Crime,Nomos,10,198,53.0371,1,measured
Crime,Nomos,10,199,52.5428,1,measured
Crime,Nomos,10,200,52.383,1,measured
Crime,Nomos,10,201,51.4955,1,measured
Crime,Nomos,10,202,52.645,1,measured
Crime,Nomos,10,203,52.8053,1,measured
Crime,Nomos,10,204,52.4993,1,measured
Crime,Nomos,10,205,53.1569,1,measured
Crime,Nomos,10,206,52.5396,1,measured
Crime,Nomos,10,207,52.563,1,measured
Crime,Nomos,10,208,52.7052,1,measured
Crime,Nomos,10,209,52.9816,1,measured
Crime,Nomos,10,210,52.74,1,measured
Crime,Nomos,10,211,50.4447,1,measured
Crime,Nomos,10,212,49.8075,1,measured
Crime,Nomos,10,213,52.9693,1,measured
Crime,Nomos,10,214,52.959,1,measured
Crime,Nomos,10,215,53.0184,1,measured
Crime,Nomos,10,216,52.6985,1,measured
Crime,Nomos,10,217,52.9663,1,measured
Crime,Nomos,10,218,52.6098,1,measured
Crime,Nomos,10,219,52.3982,1,measured
Crime,Nomos,10,220,52.4969,1,measured
Crime,Nomos,10,221,53.1029,1,measured
Crime,Nomos,10,222,52.5813,1,measured
Crime,Nomos,10,223,55.4428,1,measured
Crime,Nomos,10,224,54.5374,1,measured
Crime,Nomos,10,225,57.6767,1,measured
Crime,Nomos,10,226,58.0218,1,measured
Crime,Nomos,10,227,66.9826,1,measured
Crime,Nomos,10,228,69.051,1,measured
Crime,Nomos,10,229,76.8492,1,measured
Crime,Nomos,10,230,79.3588,1,measured
Crime,Nomos,10,231,72.5806,1,measured
Crime,Nomos,10,232,65.0615,1,measured
Crime,Nomos,10,233,66.9712,1,measured
Crime,Nomos,10,234,74.5423,1,measured
Crime,Nomos,10,235,80.9397,1,measured
Crime,Nomos,10,236,77.5998,1,measured
Crime,Nomos,10,237,75.6227,1,measured
Crime,Nomos,10,238,69.0699,1,measured
Crime,Nomos,10,239,65.9649,1,measured
Crime,Nomos,10,240,66.0204,1,measured
Crime,Nomos,10,241,68.0369,1,measured
Crime,Nomos,10,242,75.7764,1,measured
Crime,Nomos,10,243,72.3618,1,measured
