dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Enron,Nomos,10,10,74.4557,1,measured
Enron,Nomos,10,37,401.388,1,measured
Enron,Nomos,10,38,134.256,1,measured
Enron,Nomos,10,39,102.548,1,measured
Enron,Nomos,10,40,86.0007,1,measured
Enron,Nomos,10,41,79.32,1,measured
Enron,Nomos,10,42,75.2787,1,measured
Enron,Nomos,10,43,72.424,1,measured
Enron,Nomos,10,44,72.8187,1,measured
Enron,Nomos,10,45,72.5714,1,measured
Enron,Nomos,10,46,66.8569,1,measured
Enron,Nomos,10,47,74.1713,1,measured
Enron,Nomos,10,48,65.4092,1,measured
Enron,Nomos,10,49,66.9711,1,measured
Enron,Nomos,10,50,64.8314,1,measured
Enron,Nomos,10,51,64.4063,1,measured
Enron,Nomos,10,52,76.4314,1,measured
Enron,Nomos,10,53,64.2122,1,measured
Enron,Nomos,10,54,64.222,1,measured
Enron,Nomos,10,55,64.378,1,measured
Enron,Nomos,10,56,65.1445,1,measured
Enron,Nomos,10,57,66.2174,1,measured
Enron,Nomos,10,58,63.8847,1,measured
Enron,Nomos,10,59,63.862,1,measured
Enron,Nomos,10,60,65.2199,1,measured
Enron,Nomos,10,61,60.171,1,measured
Enron,Nomos,10,62,57.9613,1,measured
Enron,Nomos,10,63,58.2085,1,measured
Enron,Nomos,10,64,57.541,1,measured
Enron,Nomos,10,65,57.5482,1,measured
Enron,Nomos,10,66,61.4291,1,measured
Enron,Nomos,10,67,65.5426,1,measured
Enron,Nomos,10,68,64.2295,1,measured
Enron,Nomos,10,69,60.1025,1,measured
Enron,Nomos,10,70,57.4471,1,measured
Enron,Nomos,10,71,57.3521,1,measured
Enron,Nomos,10,72,57.3484,1,measured
Enron,Nomos,10,73,58.1779,1,measured
Enron,Nomos,10,74,57.4858,1,measured
Enron,Nomos,10,75,57.8208,1,measured
Enron,Nomos,10,76,60.2048,1,measured
Enron,Nomos,10,77,64.555,1,measured
Enron,Nomos,10,78,70.1218,1,measured
Enron,Nomos,10,79,87.0698,1,measured
Enron,Nomos,10,80,73.4326,1,measured
Enron,Nomos,10,81,73.0824,1,measured
Enron,Nomos,10,82,72.4626,1,measured
Enron,Nomos,10,83,72.576,1,measured
Enron,Nomos,10,84,74.7761,1,measured
Enron,Nomos,10,85,73.0558,1,measured
Enron,Nomos,10,86,73.3811,1,measured
Enron,Nomos,10,87,65.8726,1,measured
Enron,Nomos,10,88,64.5933,1,measured
Enron,Nomos,10,89,63.9349,1,measured
Enron,Nomos,10,90,57.2028,1,measured
Enron,Nomos,10,91,57.3394,1,measured
Enron,Nomos,10,92,57.3628,1,measured
Enron,Nomos,10,93,57.307,1,measured
Enron,Nomos,10,94,57.9107,1,measured
Enron,Nomos,10,95,58.6697,1,measured
Enron,Nomos,10,96,64.2323,1,measured
Enron,Nomos,10,97,62.5022,1,measured
Enron,Nomos,10,98,58.0813,1,measured
Enron,Nomos,10,99,57.4481,1,measured
Enron,Nomos,10,100,71.8952,1,measured
