dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Wiki,Nomos,10,1,100.02,1,measured
Wiki,Nomos,10,2,80.6328,1,measured
Wiki,Nomos,10,3,79.8266,1,measured
Wiki,Nomos,10,4,125.765,1,measured
Wiki,Nomos,10,5,104.176,1,measured
Wiki,Nomos,10,6,105.711,1,measured
Wiki,Nomos,10,7,85.0812,1,measured
Wiki,Nomos,10,8,84.919,1,measured
Wiki,Nomos,10,9,75.862,1,measured
Wiki,Nomos,10,10,72.6891,1,measured
Wiki,Nomos,10,11,73.8915,1,measured
Wiki,Nomos,10,12,82.8813,1,measured
Wiki,Nomos,10,13,73.8587,1,measured
Wiki,Nomos,10,14,71.1607,1,measured
Wiki,Nomos,10,15,85.7868,1,measured
Wiki,Nomos,10,16,75.0565,1,measured
Wiki,Nomos,10,17,65.2998,1,measured
Wiki,Nomos,10,18,65.0988,1,measured
Wiki,Nomos,10,19,65.3682,1,measured
Wiki,Nomos,10,20,64.6508,1,measured
Wiki,Nomos,10,21,64.4527,1,measured
Wiki,Nomos,10,22,61.6745,1,measured
Wiki,Nomos,10,23,69.4608,1,measured
Wiki,Nomos,10,24,79.0578,1,measured
Wiki,Nomos,10,25,75.0623,1,measured
Wiki,Nomos,10,26,66.2362,1,measured
Wiki,Nomos,10,27,64.7943,1,measured
Wiki,Nomos,10,28,64.2099,1,measured
Wiki,Nomos,10,29,64.6273,1,measured
Wiki,Nomos,10,30,64.6813,1,measured
Wiki,Nomos,10,31,65.1154,1,measured
Wiki,Nomos,10,32,64.6227,1,measured
Wiki,Nomos,10,33,64.7026,1,measured
Wiki,Nomos,10,34,64.3705,1,measured
Wiki,Nomos,10,35,64.9457,1,measured
Wiki,Nomos,10,36,95.1856,1,measured
Wiki,Nomos,10,37,64.383,1,measured
Wiki,Nomos,10,38,64.5132,1,measured
Wiki,Nomos,10,39,64.1054,1,measured
Wiki,Nomos,10,40,64.5192,1,measured
Wiki,Nomos,10,41,66.0687,1,measured
Wiki,Nomos,10,42,64.8361,1,measured
Wiki,Nomos,10,43,63.9765,1,measured
Wiki,Nomos,10,44,64.2351,1,measured
Wiki,Nomos,10,45,67.766,1,measured
Wiki,Nomos,10,46,68.2255,1,measured
Wiki,Nomos,10,47,64.5737,1,measured
Wiki,Nomos,10,48,64.213,1,measured
Wiki,Nomos,10,49,60.5345,1,measured
Wiki,Nomos,10,50,64.5412,1,measured
Wiki,Nomos,10,51,64.6931,1,measured
Wiki,Nomos,10,52,65.4192,1,measured
Wiki,Nomos,10,53,64.0885,1,measured
Wiki,Nomos,10,54,64.442,1,measured
Wiki,Nomos,10,55,61.3893,1,measured
Wiki,Nomos,10,56,60.1422,1,measured
Wiki,Nomos,10,57,58.4089,1,measured
Wiki,Nomos,10,58,57.5185,1,measured
Wiki,Nomos,10,59,57.6155,1,measured
Wiki,Nomos,10,60,57.644,1,measured
Wiki,Nomos,10,61,63.2296,1,measured
Wiki,Nomos,10,62,64.8197,1,measured
Wiki,Nomos,10,63,61.1372,1,measured
Wiki,Nomos,10,64,57.7046,1,measured
Wiki,Nomos,10,65,58.1836,1,measured
Wiki,Nomos,10,66,57.7074,1,measured
Wiki,Nomos,10,67,57.5956,1,measured
Wiki,Nomos,10,68,58.092,1,measured
Wiki,Nomos,10,69,57.58,1,measured
Wiki,Nomos,10,70,57.4007,1,measured
Wiki,Nomos,10,71,58.508,1,measured
Wiki,Nomos,10,72,58.3103,1,measured
Wiki,Nomos,10,73,57.7545,1,measured
Wiki,Nomos,10,74,57.9789,1,measured
Wiki,Nomos,10,75,57.5719,1,measured
Wiki,Nomos,10,76,57.7189,1,measured
Wiki,Nomos,10,77,57.6793,1,measured
Wiki,Nomos,10,78,57.7271,1,measured
Wiki,Nomos,10,79,57.6248,1,measured
Wiki,Nomos,10,80,58.7213,1,measured
Wiki,Nomos,10,81,62.7435,1,measured
Wiki,Nomos,10,82,64.9131,1,measured
Wiki,Nomos,10,83,64.9225,1,measured
Wiki,Nomos,10,84,57.624,1,measured
Wiki,Nomos,10,85,57.6188,1,measured
Wiki,Nomos,10,86,58.3607,1,measured
Wiki,Nomos,10,87,57.8976,1,measured
Wiki,Nomos,10,88,57.3252,1,measured
