dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,VQNomos,10,1,52.5945,1,estimated_over_nomos
Crime,VQNomos,10,2,61.2179,1,estimated_over_nomos
Crime,VQNomos,10,3,61.296,1,estimated_over_nomos
Crime,VQNomos,10,4,57.552,1,estimated_over_nomos
Crime,VQNomos,10,5,58.0173,1,estimated_over_nomos
Crime,VQNomos,10,6,277.322,1,estimated_over_nomos
Crime,VQNomos,10,7,95.4353,1,estimated_over_nomos
Crime,VQNomos,10,8,114.998,1,estimated_over_nomos
Crime,VQNomos,10,9,78.6282,1,estimated_over_nomos
Crime,VQNomos,10,10,73.7438,1,estimated_over_nomos
Crime,VQNomos,10,11,73.6836,1,estimated_over_nomos
Crime,VQNomos,10,12,72.7387,1,estimated_over_nomos
Crime,VQNomos,10,13,64.5295,1,estimated_over_nomos
Crime,VQNomos,10,14,59.534,1,estimated_over_nomos
Crime,VQNomos,10,15,57.6451,1,estimated_over_nomos
Crime,VQNomos,10,16,57.412,1,estimated_over_nomos
Crime,VQNomos,10,17,58.439,1,estimated_over_nomos
Crime,VQNomos,10,18,58.158,1,estimated_over_nomos
Crime,VQNomos,10,19,57.445,1,estimated_over_nomos
Crime,VQNomos,10,20,56.6875,1,estimated_over_nomos
Crime,VQNomos,10,21,58.0132,1,estimated_over_nomos
Crime,VQNomos,10,22,61.4433,1,estimated_over_nomos
Crime,VQNomos,10,23,64.5259,1,estimated_over_nomos
Crime,VQNomos,10,24,64.7238,1,estimated_over_nomos
Crime,VQNomos,10,25,63.4246,1,estimated_over_nomos
Crime,VQNomos,10,26,64.4937,1,estimated_over_nomos
Crime,VQNomos,10,27,64.6519,1,estimated_over_nomos
Crime,VQNomos,10,28,58.7096,1,estimated_over_nomos
Crime,VQNomos,10,29,65.229,1,estimated_over_nomos
Crime,VQNomos,10,30,66.4352,1,estimated_over_nomos
Crime,VQNomos,10,31,64.8722,1,estimated_over_nomos
Crime,VQNomos,10,32,64.8315,1,estimated_over_nomos
Crime,VQNomos,10,33,64.6221,1,estimated_over_nomos
Crime,VQNomos,10,34,64.4318,1,estimated_over_nomos
Crime,VQNomos,10,35,64.7185,1,estimated_over_nomos
Crime,VQNomos,10,36,65.3695,1,estimated_over_nomos
Crime,VQNomos,10,37,64.8964,1,estimated_over_nomos
Crime,VQNomos,10,38,64.8474,1,estimated_over_nomos
Crime,VQNomos,10,39,73.7624,1,estimated_over_nomos
Crime,VQNomos,10,40,75.4525,1,estimated_over_nomos
Crime,VQNomos,10,41,64.5625,1,estimated_over_nomos
Crime,VQNomos,10,42,64.5415,1,estimated_over_nomos
Crime,VQNomos,10,43,64.2919,1,estimated_over_nomos
Crime,VQNomos,10,44,58.6787,1,estimated_over_nomos
Crime,VQNomos,10,45,62.174,1,estimated_over_nomos
Crime,VQNomos,10,46,66.1524,1,estimated_over_nomos
Crime,VQNomos,10,47,65.407,1,estimated_over_nomos
Crime,VQNomos,10,48,64.6668,1,estimated_over_nomos
Crime,VQNomos,10,49,65.0282,1,estimated_over_nomos
Crime,VQNomos,10,50,64.4947,1,estimated_over_nomos
Crime,VQNomos,10,51,64.6139,1,estimated_over_nomos
Crime,VQNomos,10,52,64.7841,1,estimated_over_nomos
Crime,VQNomos,10,53,65.0752,1,estimated_over_nomos
Crime,VQNomos,10,54,67.058,1,estimated_over_nomos
Crime,VQNomos,10,55,64.4271,1,estimated_over_nomos
Crime,VQNomos,10,56,66.0345,1,estimated_over_nomos
Crime,VQNomos,10,57,71.698,1,estimated_over_nomos
Crime,VQNomos,10,58,64.4458,1,estimated_over_nomos
Crime,VQNomos,10,59,64.3616,1,estimated_over_nomos
Crime,VQNomos,10,60,64.6007,1,estimated_over_nomos
Crime,VQNomos,10,61,62.5795,1,estimated_over_nomos
Crime,VQNomos,10,62,58.9755,1,estimated_over_nomos
Crime,VQNomos,10,63,59.5228,1,estimated_over_nomos
Crime,VQNomos,10,64,67.3668,1,estimated_over_nomos
Crime,VQNomos,10,65,64.7071,1,estimated_over_nomos
Crime,VQNomos,10,66,65.2741,1,estimated_over_nomos
Crime,VQNomos,10,67,64.8082,1,estimated_over_nomos
Crime,VQNomos,10,68,64.6047,1,estimated_over_nomos
Crime,VQNomos,10,69,57.8333,1,estimated_over_nomos
Crime,VQNomos,10,70,57.7156,1,estimated_over_nomos
Crime,VQNomos,10,71,57.9258,1,estimated_over_nomos
Crime,VQNomos,10,72,57.7851,1,estimated_over_nomos
Crime,VQNomos,10,73,57.7208,1,estimated_over_nomos
Crime,VQNomos,10,74,58.284,1,estimated_over_nomos
Crime,VQNomos,10,75,58.1736,1,estimated_over_nomos
Crime,VQNomos,10,76,67.2916,1,estimated_over_nomos
Crime,VQNomos,10,77,64.6127,1,estimated_over_nomos
Crime,VQNomos,10,78,65.2085,1,estimated_over_nomos
Crime,VQNomos,10,79,64.5684,1,estimated_over_nomos
Crime,VQNomos,10,80,61.3282,1,estimated_over_nomos
Crime,VQNomos,10,81,60.2954,1,estimated_over_nomos
Crime,VQNomos,10,82,57.3792,1,estimated_over_nomos
Crime,VQNomos,10,83,58.0922,1,estimated_over_nomos
Crime,VQNomos,10,84,57.9054,1,estimated_over_nomos
Crime,VQNomos,10,85,58.083,1,estimated_over_nomos
Crime,VQNomos,10,86,64.5832,1,estimated_over_nomos
Crime,VQNomos,10,87,65.2158,1,estimated_over_nomos
Crime,VQNomos,10,88,71.2052,1,estimated_over_nomos
Crime,VQNomos,10,89,64.2974,1,estimated_over_nomos
Crime,VQNomos,10,90,62.6435,1,estimated_over_nomos
Crime,VQNomos,10,91,62.77,1,estimated_over_nomos
Crime,VQNomos,10,92,65.0645,1,estimated_over_nomos
Crime,VQNomos,10,93,64.3142,1,estimated_over_nomos
Crime,VQNomos,10,94,71.3132,1,estimated_over_nomos
Crime,VQNomos,10,95,74.9415,1,estimated_over_nomos
Crime,VQNomos,10,96,69.099,1,estimated_over_nomos
Crime,VQNomos,10,97,65.3166,1,estimated_over_nomos
Crime,VQNomos,10,98,63.3607,1,estimated_over_nomos
Crime,VQNomos,10,99,57.9703,1,estimated_over_nomos
Crime,VQNomos,10,100,58.0119,1,estimated_over_nomos
Crime,VQNomos,10,101,57.5644,1,estimated_over_nomos
Crime,VQNomos,10,102,53.672,1,estimated_over_nomos
Crime,VQNomos,10,103,53.7863,1,estimated_over_nomos
Crime,VQNomos,10,104,58.0514,1,estimated_over_nomos
Crime,VQNomos,10,105,58.7539,1,estimated_over_nomos
Crime,VQNomos,10,106,57.9747,1,estimated_over_nomos
Crime,VQNomos,10,107,58.278,1,estimated_over_nomos
Crime,VQNomos,10,108,56.6778,1,estimated_over_nomos
Crime,VQNomos,10,109,52.84,1,estimated_over_nomos
Crime,VQNomos,10,110,57.6607,1,estimated_over_nomos
Crime,VQNomos,10,111,55.8666,1,estimated_over_nomos
Crime,VQNomos,10,112,58.178,1,estimated_over_nomos
Crime,VQNomos,10,113,57.5826,1,estimated_over_nomos
Crime,VQNomos,10,114,55.789,1,estimated_over_nomos
Crime,VQNomos,10,115,57.9259,1,estimated_over_nomos
Crime,VQNomos,10,116,58.2334,1,estimated_over_nomos
Crime,VQNomos,10,117,61.6255,1,estimated_over_nomos
Crime,VQNomos,10,118,72.9017,1,estimated_over_nomos
Crime,VQNomos,10,119,59.2946,1,estimated_over_nomos
Crime,VQNomos,10,120,58.0264,1,estimated_over_nomos
Crime,VQNomos,10,121,57.6894,1,estimated_over_nomos
Crime,VQNomos,10,122,52.8818,1,estimated_over_nomos
Crime,VQNomos,10,123,52.9626,1,estimated_over_nomos
Crime,VQNomos,10,124,53.0196,1,estimated_over_nomos
Crime,VQNomos,10,125,53.1409,1,estimated_over_nomos
Crime,VQNomos,10,126,55.7767,1,estimated_over_nomos
Crime,VQNomos,10,127,58.2193,1,estimated_over_nomos
Crime,VQNomos,10,128,55.2218,1,estimated_over_nomos
Crime,VQNomos,10,129,53.4519,1,estimated_over_nomos
Crime,VQNomos,10,130,52.8424,1,estimated_over_nomos
Crime,VQNomos,10,131,52.9247,1,estimated_over_nomos
Crime,VQNomos,10,132,52.4442,1,estimated_over_nomos
Crime,VQNomos,10,133,53.2778,1,estimated_over_nomos
Crime,VQNomos,10,134,52.8286,1,estimated_over_nomos
Crime,VQNomos,10,135,52.6145,1,estimated_over_nomos
Crime,VQNomos,10,136,52.7543,1,estimated_over_nomos
Crime,VQNomos,10,137,54.4687,1,estimated_over_nomos
Crime,VQNomos,10,138,58.1435,1,estimated_over_nomos
Crime,VQNomos,10,139,57.6486,1,estimated_over_nomos
Crime,VQNomos,10,140,56.9398,1,estimated_over_nomos
Crime,VQNomos,10,141,60.0207,1,estimated_over_nomos
Crime,VQNomos,10,142,71.8964,1,estimated_over_nomos
Crime,VQNomos,10,143,58.1944,1,estimated_over_nomos
Crime,VQNomos,10,144,57.0295,1,estimated_over_nomos
Crime,VQNomos,10,145,52.6838,1,estimated_over_nomos
Crime,VQNomos,10,146,53.0523,1,estimated_over_nomos
