dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Enron,VQNomos,10,10,32.5222,1
Enron,VQNomos,10,37,31.8309,1
Enron,VQNomos,10,38,41.4322,1
Enron,VQNomos,10,39,31.7836,1
Enron,VQNomos,10,40,31.7328,1
Enron,VQNomos,10,41,32.5825,1
Enron,VQNomos,10,42,31.61,1
Enron,VQNomos,10,43,30.7598,1
Enron,VQNomos,10,44,31.5028,1
Enron,VQNomos,10,45,33.6974,1
Enron,VQNomos,10,46,32.1126,1
Enron,VQNomos,10,47,36.1783,1
Enron,VQNomos,10,48,32.3746,1
Enron,VQNomos,10,49,30.7321,1
Enron,VQNomos,10,50,30.7767,1
Enron,VQNomos,10,51,31.7255,1
Enron,VQNomos,10,52,32.0761,1
Enron,VQNomos,10,53,31.3251,1
Enron,VQNomos,10,54,31.758,1
Enron,VQNomos,10,55,30.7314,1
Enron,VQNomos,10,56,31.5275,1
Enron,VQNomos,10,57,33.402,1
Enron,VQNomos,10,58,31.9178,1
Enron,VQNomos,10,59,32.0142,1
Enron,VQNomos,10,60,33.1197,1
Enron,VQNomos,10,61,31.7659,1
Enron,VQNomos,10,62,31.46,1
Enron,VQNomos,10,63,32.4825,1
Enron,VQNomos,10,64,31.8475,1
Enron,VQNomos,10,65,31.9126,1
Enron,VQNomos,10,66,34.6134,1
Enron,VQNomos,10,67,31.4181,1
Enron,VQNomos,10,68,32.0412,1
Enron,VQNomos,10,69,33.4735,1
Enron,VQNomos,10,70,31.9554,1
Enron,VQNomos,10,71,31.0682,1
Enron,VQNomos,10,72,31.799,1
Enron,VQNomos,10,73,31.6692,1
Enron,VQNomos,10,74,32.1767,1
Enron,VQNomos,10,75,31.2347,1
Enron,VQNomos,10,76,30.7871,1
Enron,VQNomos,10,77,49.992,1
Enron,VQNomos,10,78,33.1467,1
Enron,VQNomos,10,79,31.455,1
Enron,VQNomos,10,80,35.3497,1
Enron,VQNomos,10,81,32.2252,1
Enron,VQNomos,10,82,30.6463,1
Enron,VQNomos,10,83,30.7872,1
Enron,VQNomos,10,84,31.0149,1
Enron,VQNomos,10,85,31.555,1
Enron,VQNomos,10,86,32.076,1
Enron,VQNomos,10,87,42.1904,1
Enron,VQNomos,10,88,32.2364,1
Enron,VQNomos,10,89,31.2067,1
Enron,VQNomos,10,90,34.2449,1
Enron,VQNomos,10,91,36.4064,1
Enron,VQNomos,10,92,31.8965,1
Enron,VQNomos,10,93,31.4854,1
Enron,VQNomos,10,94,37.7517,1
Enron,VQNomos,10,95,31.6499,1
Enron,VQNomos,10,96,31.503,1
Enron,VQNomos,10,97,35.0264,1
Enron,VQNomos,10,98,40.2045,1
Enron,VQNomos,10,99,31.695,1
Enron,VQNomos,10,100,31.2575,1
Enron,VQNomos,10,101,32.8766,1
Enron,VQNomos,10,102,33.7739,1
Enron,VQNomos,10,103,30.778,1
Enron,VQNomos,10,104,31.0844,1
Enron,VQNomos,10,105,31.2356,1
Enron,VQNomos,10,106,32.6351,1
Enron,VQNomos,10,107,34.7755,1
Enron,VQNomos,10,108,31.8246,1
