dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Wiki,VQNomos,10,1,6.68288,1
Wiki,VQNomos,10,2,8.50321,1
Wiki,VQNomos,10,3,11.5074,1
Wiki,VQNomos,10,4,18.8194,1
Wiki,VQNomos,10,5,19.6713,1
Wiki,VQNomos,10,6,20.5246,1
Wiki,VQNomos,10,7,24.1536,1
Wiki,VQNomos,10,8,26.9625,1
Wiki,VQNomos,10,9,33.3207,1
Wiki,VQNomos,10,10,49.1956,1
Wiki,VQNomos,10,11,45.9597,1
Wiki,VQNomos,10,12,40.6313,1
Wiki,VQNomos,10,13,45.1266,1
Wiki,VQNomos,10,14,38.5165,1
Wiki,VQNomos,10,15,35.1996,1
Wiki,VQNomos,10,16,33.3318,1
Wiki,VQNomos,10,17,34.8036,1
Wiki,VQNomos,10,18,33.8035,1
Wiki,VQNomos,10,19,32.4969,1
Wiki,VQNomos,10,20,34.6883,1
Wiki,VQNomos,10,21,33.9205,1
Wiki,VQNomos,10,22,33.7108,1
Wiki,VQNomos,10,23,31.725,1
Wiki,VQNomos,10,24,32.2891,1
Wiki,VQNomos,10,25,30.995,1
Wiki,VQNomos,10,26,31.073,1
Wiki,VQNomos,10,27,33.1088,1
Wiki,VQNomos,10,28,43.6372,1
Wiki,VQNomos,10,29,35.6168,1
Wiki,VQNomos,10,30,31.3635,1
Wiki,VQNomos,10,31,32.2998,1
Wiki,VQNomos,10,32,32.2427,1
Wiki,VQNomos,10,33,31.665,1
Wiki,VQNomos,10,34,34.4994,1
Wiki,VQNomos,10,35,32.2987,1
Wiki,VQNomos,10,36,31.1098,1
Wiki,VQNomos,10,37,31.987,1
Wiki,VQNomos,10,38,30.9574,1
Wiki,VQNomos,10,39,30.4308,1
Wiki,VQNomos,10,40,30.6058,1
Wiki,VQNomos,10,41,32.7115,1
Wiki,VQNomos,10,42,32.977,1
Wiki,VQNomos,10,43,32.4906,1
Wiki,VQNomos,10,44,31.005,1
Wiki,VQNomos,10,45,34.6212,1
Wiki,VQNomos,10,46,32.0507,1
Wiki,VQNomos,10,47,30.8312,1
Wiki,VQNomos,10,48,31.6089,1
Wiki,VQNomos,10,49,31.5076,1
Wiki,VQNomos,10,50,33.4365,1
Wiki,VQNomos,10,51,31.299,1
Wiki,VQNomos,10,52,33.5973,1
Wiki,VQNomos,10,53,32.8113,1
Wiki,VQNomos,10,54,37.9618,1
Wiki,VQNomos,10,55,31.5191,1
Wiki,VQNomos,10,56,31.7983,1
Wiki,VQNomos,10,57,31.0657,1
Wiki,VQNomos,10,58,30.7123,1
Wiki,VQNomos,10,59,31.9566,1
Wiki,VQNomos,10,60,30.3726,1
Wiki,VQNomos,10,61,30.9099,1
Wiki,VQNomos,10,62,31.9458,1
Wiki,VQNomos,10,63,31.57,1
Wiki,VQNomos,10,64,32.1959,1
Wiki,VQNomos,10,65,31.1623,1
Wiki,VQNomos,10,66,32.3089,1
Wiki,VQNomos,10,67,31.1688,1
Wiki,VQNomos,10,68,31.8135,1
Wiki,VQNomos,10,69,31.2249,1
Wiki,VQNomos,10,70,32.7618,1
Wiki,VQNomos,10,71,32.7378,1
Wiki,VQNomos,10,72,32.8286,1
Wiki,VQNomos,10,73,32.3765,1
Wiki,VQNomos,10,74,31.6832,1
Wiki,VQNomos,10,75,33.3068,1
Wiki,VQNomos,10,76,32.9436,1
Wiki,VQNomos,10,77,33.3443,1
Wiki,VQNomos,10,78,35.8037,1
Wiki,VQNomos,10,79,31.4192,1
Wiki,VQNomos,10,80,31.8223,1
Wiki,VQNomos,10,81,32.0757,1
Wiki,VQNomos,10,82,33.2628,1
Wiki,VQNomos,10,83,30.6843,1
Wiki,VQNomos,10,84,33.3039,1
Wiki,VQNomos,10,85,31.0573,1
Wiki,VQNomos,10,86,30.5646,1
Wiki,VQNomos,10,87,32.3112,1
Wiki,VQNomos,10,88,30.8914,1
Wiki,VQNomos,10,89,105.763,1
Wiki,VQNomos,10,90,60.1767,1
Wiki,VQNomos,10,91,44.6638,1
Wiki,VQNomos,10,92,45.4045,1
Wiki,VQNomos,10,93,55.8869,1
Wiki,VQNomos,10,94,38.323,1
Wiki,VQNomos,10,95,32.5865,1
Wiki,VQNomos,10,96,40.9082,1
Wiki,VQNomos,10,97,31.0382,1
Wiki,VQNomos,10,98,32.653,1
Wiki,VQNomos,10,99,31.3922,1
Wiki,VQNomos,10,100,33.4685,1
Wiki,VQNomos,10,101,31.828,1
Wiki,VQNomos,10,102,31.697,1
Wiki,VQNomos,10,103,31.6168,1
Wiki,VQNomos,10,104,31.0356,1
Wiki,VQNomos,10,105,31.9891,1
Wiki,VQNomos,10,106,32.2998,1
Wiki,VQNomos,10,107,35.2686,1
Wiki,VQNomos,10,108,33.1719,1
Wiki,VQNomos,10,109,34.8627,1
Wiki,VQNomos,10,110,72.5202,1
Wiki,VQNomos,10,111,47.2786,1
Wiki,VQNomos,10,112,34.7695,1
Wiki,VQNomos,10,113,34.066,1
Wiki,VQNomos,10,114,34.0637,1
Wiki,VQNomos,10,115,33.0377,1
Wiki,VQNomos,10,116,35.7035,1
Wiki,VQNomos,10,117,32.5009,1
Wiki,VQNomos,10,118,31.4634,1
Wiki,VQNomos,10,119,31.3854,1
Wiki,VQNomos,10,120,32.4994,1
Wiki,VQNomos,10,121,33.6178,1
Wiki,VQNomos,10,122,31.0857,1
Wiki,VQNomos,10,123,31.1621,1
Wiki,VQNomos,10,124,30.868,1
Wiki,VQNomos,10,125,43.585,1
Wiki,VQNomos,10,126,32.8018,1
Wiki,VQNomos,10,127,34.9258,1
Wiki,VQNomos,10,128,30.5474,1
Wiki,VQNomos,10,129,31.3536,1
Wiki,VQNomos,10,130,31.9803,1
Wiki,VQNomos,10,131,40.0178,1
Wiki,VQNomos,10,132,41.69,1
Wiki,VQNomos,10,133,31.714,1
Wiki,VQNomos,10,134,31.4605,1
Wiki,VQNomos,10,135,31.0517,1
Wiki,VQNomos,10,136,31.1946,1
Wiki,VQNomos,10,137,31.0099,1
Wiki,VQNomos,10,138,30.3628,1
Wiki,VQNomos,10,139,31.3024,1
Wiki,VQNomos,10,140,52.7438,1
Wiki,VQNomos,10,141,32.7453,1
Wiki,VQNomos,10,142,31.5605,1
Wiki,VQNomos,10,143,33.9786,1
Wiki,VQNomos,10,144,30.0441,1
Wiki,VQNomos,10,145,30.862,1
Wiki,VQNomos,10,146,31.1095,1
Wiki,VQNomos,10,147,34.0422,1
Wiki,VQNomos,10,148,32.4692,1
Wiki,VQNomos,10,149,31.8144,1
Wiki,VQNomos,10,150,31.9174,1
Wiki,VQNomos,10,151,44.6006,1
Wiki,VQNomos,10,152,33.7137,1
Wiki,VQNomos,10,153,31.2305,1
Wiki,VQNomos,10,154,30.5432,1
Wiki,VQNomos,10,155,31.2081,1
Wiki,VQNomos,10,156,30.9183,1
Wiki,VQNomos,10,157,34.0076,1
Wiki,VQNomos,10,158,31.077,1
Wiki,VQNomos,10,159,31.1527,1
Wiki,VQNomos,10,160,31.2926,1
Wiki,VQNomos,10,161,33.6211,1
