dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,Nomos,10,1,119.51,1,measured
Crime,Nomos,10,2,129.031,1,measured
Crime,Nomos,10,3,132.479,1,measured
Crime,Nomos,10,4,115.011,1,measured
Crime,Nomos,10,5,94.9797,1,measured
Crime,Nomos,10,6,85.4012,1,measured
Crime,Nomos,10,7,77.2555,1,measured
Crime,Nomos,10,8,74.3031,1,measured
Crime,Nomos,10,9,74.1825,1,measured
Crime,Nomos,10,10,145.632,1,measured
Crime,Nomos,10,11,117.119,1,measured
Crime,Nomos,10,12,120.185,1,measured
Crime,Nomos,10,13,101.981,1,measured
Crime,Nomos,10,14,84.3499,1,measured
Crime,Nomos,10,15,76.9666,1,measured
Crime,Nomos,10,16,77.818,1,measured
Crime,Nomos,10,17,73.5222,1,measured
Crime,Nomos,10,18,74.7465,1,measured
Crime,Nomos,10,19,74.5142,1,measured
Crime,Nomos,10,20,73.3761,1,measured
Crime,Nomos,10,21,73.7004,1,measured
Crime,Nomos,10,22,68.7445,1,measured
Crime,Nomos,10,23,64.7736,1,measured
Crime,Nomos,10,24,65.2385,1,measured
Crime,Nomos,10,25,67.9752,1,measured
Crime,Nomos,10,26,64.5032,1,measured
Crime,Nomos,10,27,64.2756,1,measured
Crime,Nomos,10,28,64.3318,1,measured
Crime,Nomos,10,29,61.8787,1,measured
Crime,Nomos,10,30,65.0011,1,measured
Crime,Nomos,10,31,57.6888,1,measured
Crime,Nomos,10,32,57.5067,1,measured
Crime,Nomos,10,33,60.0926,1,measured
Crime,Nomos,10,34,96.007,1,measured
Crime,Nomos,10,35,73.9727,1,measured
Crime,Nomos,10,36,73.0732,1,measured
Crime,Nomos,10,37,106.561,1,measured
Crime,Nomos,10,38,78.714,1,measured
Crime,Nomos,10,39,80.4642,1,measured
Crime,Nomos,10,40,72.6811,1,measured
Crime,Nomos,10,41,73.2502,1,measured
Crime,Nomos,10,42,76.4035,1,measured
Crime,Nomos,10,43,96.6093,1,measured
Crime,Nomos,10,44,89.1458,1,measured
Crime,Nomos,10,45,76.6686,1,measured
Crime,Nomos,10,46,76.1634,1,measured
Crime,Nomos,10,47,74.6503,1,measured
Crime,Nomos,10,48,74.3072,1,measured
Crime,Nomos,10,49,73.963,1,measured
Crime,Nomos,10,50,75.8598,1,measured
Crime,Nomos,10,51,74.4176,1,measured
Crime,Nomos,10,52,73.7173,1,measured
Crime,Nomos,10,53,65.295,1,measured
Crime,Nomos,10,54,65.868,1,measured
Crime,Nomos,10,55,65.3993,1,measured
Crime,Nomos,10,56,65.7133,1,measured
Crime,Nomos,10,57,57.701,1,measured
Crime,Nomos,10,58,64.2848,1,measured
Crime,Nomos,10,59,83.619,1,measured
Crime,Nomos,10,60,68.5544,1,measured
Crime,Nomos,10,61,64.3517,1,measured
Crime,Nomos,10,62,65.7862,1,measured
Crime,Nomos,10,63,64.5685,1,measured
Crime,Nomos,10,64,62.8095,1,measured
Crime,Nomos,10,65,62.4083,1,measured
Crime,Nomos,10,66,61.427,1,measured
Crime,Nomos,10,67,62.7808,1,measured
Crime,Nomos,10,68,66.5865,1,measured
Crime,Nomos,10,69,65.844,1,measured
Crime,Nomos,10,70,64.5727,1,measured
Crime,Nomos,10,71,61.2497,1,measured
Crime,Nomos,10,72,58.9547,1,measured
Crime,Nomos,10,73,64.8565,1,measured
Crime,Nomos,10,74,60.7611,1,measured
Crime,Nomos,10,75,57.7489,1,measured
Crime,Nomos,10,76,58.6911,1,measured
Crime,Nomos,10,77,65.7372,1,measured
Crime,Nomos,10,78,65.186,1,measured
Crime,Nomos,10,79,65.0894,1,measured
Crime,Nomos,10,80,65.7671,1,measured
Crime,Nomos,10,81,80.7105,1,measured
Crime,Nomos,10,82,66.4449,1,measured
Crime,Nomos,10,83,67.9188,1,measured
Crime,Nomos,10,84,74.0196,1,measured
Crime,Nomos,10,85,73.6994,1,measured
Crime,Nomos,10,86,75.7713,1,measured
Crime,Nomos,10,87,73.2966,1,measured
Crime,Nomos,10,88,73.2794,1,measured
Crime,Nomos,10,89,69.1487,1,measured
Crime,Nomos,10,90,64.3726,1,measured
Crime,Nomos,10,91,64.8227,1,measured
Crime,Nomos,10,92,58.6939,1,measured
Crime,Nomos,10,93,63.9086,1,measured
Crime,Nomos,10,94,65.3099,1,measured
Crime,Nomos,10,95,65.7987,1,measured
Crime,Nomos,10,96,65.9257,1,measured
Crime,Nomos,10,97,61.2424,1,measured
Crime,Nomos,10,98,64.006,1,measured
Crime,Nomos,10,99,65.4552,1,measured
Crime,Nomos,10,100,65.573,1,measured
Crime,Nomos,10,101,59.3092,1,measured
Crime,Nomos,10,102,59.5731,1,measured
Crime,Nomos,10,103,65.6538,1,measured
Crime,Nomos,10,104,66.2025,1,measured
Crime,Nomos,10,105,64.5165,1,measured
Crime,Nomos,10,106,60.9674,1,measured
Crime,Nomos,10,107,58.2496,1,measured
Crime,Nomos,10,108,57.7088,1,measured
Crime,Nomos,10,109,58.6984,1,measured
Crime,Nomos,10,110,57.8573,1,measured
Crime,Nomos,10,111,57.7353,1,measured
Crime,Nomos,10,112,58.4089,1,measured
Crime,Nomos,10,113,61.0196,1,measured
Crime,Nomos,10,114,67.3891,1,measured
Crime,Nomos,10,115,64.4928,1,measured
Crime,Nomos,10,116,57.5506,1,measured
Crime,Nomos,10,117,57.6312,1,measured
Crime,Nomos,10,118,58.4562,1,measured
Crime,Nomos,10,119,58.5945,1,measured
Crime,Nomos,10,120,58.0245,1,measured
Crime,Nomos,10,121,57.3229,1,measured
Crime,Nomos,10,122,57.6543,1,measured
Crime,Nomos,10,123,58.0812,1,measured
Crime,Nomos,10,124,57.9772,1,measured
Crime,Nomos,10,125,57.9746,1,measured
Crime,Nomos,10,126,57.9436,1,measured
Crime,Nomos,10,127,58.9778,1,measured
Crime,Nomos,10,128,67.9481,1,measured
Crime,Nomos,10,129,64.483,1,measured
Crime,Nomos,10,130,57.6774,1,measured
Crime,Nomos,10,131,57.7523,1,measured
Crime,Nomos,10,132,57.7555,1,measured
Crime,Nomos,10,133,57.6164,1,measured
Crime,Nomos,10,134,57.5975,1,measured
Crime,Nomos,10,135,58.0052,1,measured
Crime,Nomos,10,136,59.2751,1,measured
Crime,Nomos,10,137,57.5275,1,measured
