dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,VQNomos,10,1,119.73,1,estimated_over_nomos
Crime,VQNomos,10,2,129.251,1,estimated_over_nomos
Crime,VQNomos,10,3,132.699,1,estimated_over_nomos
Crime,VQNomos,10,4,115.231,1,estimated_over_nomos
Crime,VQNomos,10,5,95.1997,1,estimated_over_nomos
Crime,VQNomos,10,6,85.6212,1,estimated_over_nomos
Crime,VQNomos,10,7,77.4755,1,estimated_over_nomos
Crime,VQNomos,10,8,74.5231,1,estimated_over_nomos
Crime,VQNomos,10,9,74.4025,1,estimated_over_nomos
Crime,VQNomos,10,10,145.852,1,estimated_over_nomos
Crime,VQNomos,10,11,117.339,1,estimated_over_nomos
Crime,VQNomos,10,12,120.405,1,estimated_over_nomos
Crime,VQNomos,10,13,102.201,1,estimated_over_nomos
Crime,VQNomos,10,14,84.5699,1,estimated_over_nomos
Crime,VQNomos,10,15,77.1866,1,estimated_over_nomos
Crime,VQNomos,10,16,78.038,1,estimated_over_nomos
Crime,VQNomos,10,17,73.7422,1,estimated_over_nomos
Crime,VQNomos,10,18,74.9665,1,estimated_over_nomos
Crime,VQNomos,10,19,74.7342,1,estimated_over_nomos
Crime,VQNomos,10,20,73.5961,1,estimated_over_nomos
Crime,VQNomos,10,21,73.9204,1,estimated_over_nomos
Crime,VQNomos,10,22,68.9645,1,estimated_over_nomos
Crime,VQNomos,10,23,64.9936,1,estimated_over_nomos
Crime,VQNomos,10,24,65.4585,1,estimated_over_nomos
Crime,VQNomos,10,25,68.1952,1,estimated_over_nomos
Crime,VQNomos,10,26,64.7232,1,estimated_over_nomos
Crime,VQNomos,10,27,64.4956,1,estimated_over_nomos
Crime,VQNomos,10,28,64.5518,1,estimated_over_nomos
Crime,VQNomos,10,29,62.0987,1,estimated_over_nomos
Crime,VQNomos,10,30,65.2211,1,estimated_over_nomos
Crime,VQNomos,10,31,57.9088,1,estimated_over_nomos
Crime,VQNomos,10,32,57.7267,1,estimated_over_nomos
Crime,VQNomos,10,33,60.3126,1,estimated_over_nomos
Crime,VQNomos,10,34,96.227,1,estimated_over_nomos
Crime,VQNomos,10,35,74.1927,1,estimated_over_nomos
Crime,VQNomos,10,36,73.2932,1,estimated_over_nomos
Crime,VQNomos,10,37,106.781,1,estimated_over_nomos
Crime,VQNomos,10,38,78.934,1,estimated_over_nomos
Crime,VQNomos,10,39,80.6842,1,estimated_over_nomos
Crime,VQNomos,10,40,72.9011,1,estimated_over_nomos
Crime,VQNomos,10,41,73.4702,1,estimated_over_nomos
Crime,VQNomos,10,42,76.6235,1,estimated_over_nomos
Crime,VQNomos,10,43,96.8293,1,estimated_over_nomos
Crime,VQNomos,10,44,89.3658,1,estimated_over_nomos
Crime,VQNomos,10,45,76.8886,1,estimated_over_nomos
Crime,VQNomos,10,46,76.3834,1,estimated_over_nomos
Crime,VQNomos,10,47,74.8703,1,estimated_over_nomos
Crime,VQNomos,10,48,74.5272,1,estimated_over_nomos
Crime,VQNomos,10,49,74.183,1,estimated_over_nomos
Crime,VQNomos,10,50,76.0798,1,estimated_over_nomos
Crime,VQNomos,10,51,74.6376,1,estimated_over_nomos
Crime,VQNomos,10,52,73.9373,1,estimated_over_nomos
Crime,VQNomos,10,53,65.515,1,estimated_over_nomos
Crime,VQNomos,10,54,66.088,1,estimated_over_nomos
Crime,VQNomos,10,55,65.6193,1,estimated_over_nomos
Crime,VQNomos,10,56,65.9333,1,estimated_over_nomos
Crime,VQNomos,10,57,57.921,1,estimated_over_nomos
Crime,VQNomos,10,58,64.5048,1,estimated_over_nomos
Crime,VQNomos,10,59,83.839,1,estimated_over_nomos
Crime,VQNomos,10,60,68.7744,1,estimated_over_nomos
Crime,VQNomos,10,61,64.5717,1,estimated_over_nomos
Crime,VQNomos,10,62,66.0062,1,estimated_over_nomos
Crime,VQNomos,10,63,64.7885,1,estimated_over_nomos
Crime,VQNomos,10,64,63.0295,1,estimated_over_nomos
Crime,VQNomos,10,65,62.6283,1,estimated_over_nomos
Crime,VQNomos,10,66,61.647,1,estimated_over_nomos
Crime,VQNomos,10,67,63.0008,1,estimated_over_nomos
Crime,VQNomos,10,68,66.8065,1,estimated_over_nomos
Crime,VQNomos,10,69,66.064,1,estimated_over_nomos
Crime,VQNomos,10,70,64.7927,1,estimated_over_nomos
Crime,VQNomos,10,71,61.4697,1,estimated_over_nomos
Crime,VQNomos,10,72,59.1747,1,estimated_over_nomos
Crime,VQNomos,10,73,65.0765,1,estimated_over_nomos
Crime,VQNomos,10,74,60.9811,1,estimated_over_nomos
Crime,VQNomos,10,75,57.9689,1,estimated_over_nomos
Crime,VQNomos,10,76,58.9111,1,estimated_over_nomos
Crime,VQNomos,10,77,65.9572,1,estimated_over_nomos
Crime,VQNomos,10,78,65.406,1,estimated_over_nomos
Crime,VQNomos,10,79,65.3094,1,estimated_over_nomos
Crime,VQNomos,10,80,65.9871,1,estimated_over_nomos
Crime,VQNomos,10,81,80.9305,1,estimated_over_nomos
Crime,VQNomos,10,82,66.6649,1,estimated_over_nomos
Crime,VQNomos,10,83,68.1388,1,estimated_over_nomos
Crime,VQNomos,10,84,74.2396,1,estimated_over_nomos
Crime,VQNomos,10,85,73.9194,1,estimated_over_nomos
Crime,VQNomos,10,86,75.9913,1,estimated_over_nomos
Crime,VQNomos,10,87,73.5166,1,estimated_over_nomos
Crime,VQNomos,10,88,73.4994,1,estimated_over_nomos
Crime,VQNomos,10,89,69.3687,1,estimated_over_nomos
Crime,VQNomos,10,90,64.5926,1,estimated_over_nomos
Crime,VQNomos,10,91,65.0427,1,estimated_over_nomos
Crime,VQNomos,10,92,58.9139,1,estimated_over_nomos
Crime,VQNomos,10,93,64.1286,1,estimated_over_nomos
Crime,VQNomos,10,94,65.5299,1,estimated_over_nomos
Crime,VQNomos,10,95,66.0187,1,estimated_over_nomos
Crime,VQNomos,10,96,66.1457,1,estimated_over_nomos
Crime,VQNomos,10,97,61.4624,1,estimated_over_nomos
Crime,VQNomos,10,98,64.226,1,estimated_over_nomos
Crime,VQNomos,10,99,65.6752,1,estimated_over_nomos
Crime,VQNomos,10,100,65.793,1,estimated_over_nomos
Crime,VQNomos,10,101,59.5292,1,estimated_over_nomos
Crime,VQNomos,10,102,59.7931,1,estimated_over_nomos
Crime,VQNomos,10,103,65.8738,1,estimated_over_nomos
Crime,VQNomos,10,104,66.4225,1,estimated_over_nomos
Crime,VQNomos,10,105,64.7365,1,estimated_over_nomos
Crime,VQNomos,10,106,61.1874,1,estimated_over_nomos
Crime,VQNomos,10,107,58.4696,1,estimated_over_nomos
Crime,VQNomos,10,108,57.9288,1,estimated_over_nomos
Crime,VQNomos,10,109,58.9184,1,estimated_over_nomos
Crime,VQNomos,10,110,58.0773,1,estimated_over_nomos
Crime,VQNomos,10,111,57.9553,1,estimated_over_nomos
Crime,VQNomos,10,112,58.6289,1,estimated_over_nomos
Crime,VQNomos,10,113,61.2396,1,estimated_over_nomos
Crime,VQNomos,10,114,67.6091,1,estimated_over_nomos
Crime,VQNomos,10,115,64.7128,1,estimated_over_nomos
Crime,VQNomos,10,116,57.7706,1,estimated_over_nomos
Crime,VQNomos,10,117,57.8512,1,estimated_over_nomos
Crime,VQNomos,10,118,58.6762,1,estimated_over_nomos
Crime,VQNomos,10,119,58.8145,1,estimated_over_nomos
Crime,VQNomos,10,120,58.2445,1,estimated_over_nomos
Crime,VQNomos,10,121,57.5429,1,estimated_over_nomos
Crime,VQNomos,10,122,57.8743,1,estimated_over_nomos
Crime,VQNomos,10,123,58.3012,1,estimated_over_nomos
Crime,VQNomos,10,124,58.1972,1,estimated_over_nomos
Crime,VQNomos,10,125,58.1946,1,estimated_over_nomos
Crime,VQNomos,10,126,58.1636,1,estimated_over_nomos
Crime,VQNomos,10,127,59.1978,1,estimated_over_nomos
Crime,VQNomos,10,128,68.1681,1,estimated_over_nomos
Crime,VQNomos,10,129,64.703,1,estimated_over_nomos
Crime,VQNomos,10,130,57.8974,1,estimated_over_nomos
Crime,VQNomos,10,131,57.9723,1,estimated_over_nomos
Crime,VQNomos,10,132,57.9755,1,estimated_over_nomos
