dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Crime,MC-ODXT,1,16644,4.11167,1
Crime,MC-ODXT,2,16644,3.71467,1
Crime,MC-ODXT,3,16644,3.70467,1
Crime,MC-ODXT,4,16644,3.73629,1
Crime,MC-ODXT,5,16644,3.71917,1
Crime,MC-ODXT,6,16644,3.73079,1
Crime,MC-ODXT,7,16644,3.71946,1
Crime,MC-ODXT,8,16644,3.72308,1
Crime,MC-ODXT,9,16644,3.728,1
Crime,MC-ODXT,10,16644,3.73858,1
Crime,MC-ODXT,11,16644,3.69762,1
Crime,MC-ODXT,12,16644,3.73654,1
Crime,MC-ODXT,13,16644,3.71375,1
Crime,MC-ODXT,14,16644,3.73608,1
Crime,MC-ODXT,15,16644,3.72067,1
Crime,MC-ODXT,16,16644,3.71812,1
Crime,MC-ODXT,17,16644,3.72321,1
Crime,MC-ODXT,18,16644,3.71521,1
Crime,MC-ODXT,19,16644,3.69983,1
Crime,MC-ODXT,20,16644,3.72879,1
Crime,MC-ODXT,21,16644,3.85554,1
Crime,MC-ODXT,22,16644,3.87137,1
Crime,MC-ODXT,23,16644,6.47929,1
Crime,MC-ODXT,24,16644,3.79804,1
Crime,MC-ODXT,25,16644,3.81121,1
Crime,MC-ODXT,26,16644,3.71679,1
Crime,MC-ODXT,27,16644,3.77817,1
Crime,MC-ODXT,28,16644,3.73888,1
Crime,MC-ODXT,29,16644,3.75683,1
Crime,MC-ODXT,30,16644,3.77071,1
Crime,MC-ODXT,31,16644,3.75908,1
Crime,MC-ODXT,32,16644,3.75404,1
Crime,MC-ODXT,33,16644,3.74737,1
Crime,MC-ODXT,34,16644,3.738,1
Crime,MC-ODXT,35,16644,3.75804,1
Crime,MC-ODXT,36,16644,3.83121,1
Crime,MC-ODXT,37,16644,3.74746,1
Crime,MC-ODXT,38,16644,3.86425,1
Crime,MC-ODXT,39,16644,3.96829,1
Crime,MC-ODXT,40,16644,3.7455,1
Crime,MC-ODXT,41,16644,3.77233,1
Crime,MC-ODXT,42,16644,3.76892,1
Crime,MC-ODXT,43,16644,3.76871,1
Crime,MC-ODXT,44,16644,3.77546,1
Crime,MC-ODXT,45,16644,3.77138,1
Crime,MC-ODXT,46,16644,3.78779,1
Crime,MC-ODXT,47,16644,3.77804,1
Crime,MC-ODXT,48,16644,3.78029,1
Crime,MC-ODXT,49,16644,3.77725,1
Crime,MC-ODXT,50,16644,3.7725,1
Crime,MC-ODXT,51,16644,3.74392,1
Crime,MC-ODXT,52,16644,3.82,1
Crime,MC-ODXT,53,16644,3.79571,1
Crime,MC-ODXT,54,16644,3.80683,1
