dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Wiki,MC-ODXT,1,9738,3.75217,1
Wiki,MC-ODXT,2,9738,3.73742,1
Wiki,MC-ODXT,3,9738,3.74971,1
Wiki,MC-ODXT,4,9738,3.74942,1
Wiki,MC-ODXT,5,9738,3.74154,1
Wiki,MC-ODXT,6,9738,3.73758,1
Wiki,MC-ODXT,7,9738,3.94025,1
Wiki,MC-ODXT,8,9738,3.82596,1
Wiki,MC-ODXT,9,9738,3.91712,1
Wiki,MC-ODXT,10,9738,4.02842,1
Wiki,MC-ODXT,11,9738,3.77338,1
Wiki,MC-ODXT,12,9738,3.76517,1
Wiki,MC-ODXT,13,9738,3.75308,1
Wiki,MC-ODXT,14,9738,3.76804,1
Wiki,MC-ODXT,15,9738,3.76913,1
Wiki,MC-ODXT,16,9738,3.87329,1
Wiki,MC-ODXT,17,9738,3.77513,1
Wiki,MC-ODXT,18,9738,3.78854,1
Wiki,MC-ODXT,19,9738,3.76896,1
Wiki,MC-ODXT,20,9738,3.91121,1
Wiki,MC-ODXT,21,9738,3.931,1
Wiki,MC-ODXT,22,9738,4.01117,1
Wiki,MC-ODXT,23,9738,4.00925,1
Wiki,MC-ODXT,24,9738,3.83129,1
Wiki,MC-ODXT,25,9738,3.89913,1
Wiki,MC-ODXT,26,9738,3.81354,1
Wiki,MC-ODXT,27,9738,4.55388,1
Wiki,MC-ODXT,28,9738,5.36713,1
Wiki,MC-ODXT,29,9738,4.07571,1
Wiki,MC-ODXT,30,9738,4.01571,1
Wiki,MC-ODXT,31,9738,4.0875,1
Wiki,MC-ODXT,32,9738,4.00525,1
Wiki,MC-ODXT,33,9738,3.77379,1
Wiki,MC-ODXT,34,9738,3.78238,1
Wiki,MC-ODXT,35,9738,4.44129,1
Wiki,MC-ODXT,36,9738,3.87708,1
Wiki,MC-ODXT,37,9738,3.76913,1
Wiki,MC-ODXT,38,9738,3.75912,1
Wiki,MC-ODXT,39,9738,3.80508,1
Wiki,MC-ODXT,40,9738,3.76517,1
Wiki,MC-ODXT,41,9738,3.73658,1
