dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Crime,Nomos,1,16644,4.99633,1
Crime,Nomos,2,16644,4.65804,1
Crime,Nomos,3,16644,4.72992,1
Crime,Nomos,4,16644,4.62496,1
Crime,Nomos,5,16644,4.73538,1
Crime,Nomos,6,16644,4.72788,1
Crime,Nomos,7,16644,4.61017,1
Crime,Nomos,8,16644,4.523,1
Crime,Nomos,9,16644,4.67171,1
Crime,Nomos,10,16644,4.62792,1
Crime,Nomos,11,16644,4.62333,1
Crime,Nomos,12,16644,4.61712,1
Crime,Nomos,13,16644,4.62812,1
Crime,Nomos,14,16644,4.70429,1
Crime,Nomos,15,16644,4.78737,1
Crime,Nomos,16,16644,4.79488,1
Crime,Nomos,17,16644,4.75687,1
Crime,Nomos,18,16644,4.61362,1
Crime,Nomos,19,16644,4.60933,1
Crime,Nomos,20,16644,4.85004,1
Crime,Nomos,21,16644,4.71571,1
Crime,Nomos,22,16644,4.71429,1
Crime,Nomos,23,16644,4.72733,1
Crime,Nomos,24,16644,4.71725,1
Crime,Nomos,25,16644,4.70517,1
Crime,Nomos,26,16644,4.75196,1
Crime,Nomos,27,16644,4.66867,1
Crime,Nomos,28,16644,4.71746,1
Crime,Nomos,29,16644,4.73796,1
Crime,Nomos,30,16644,4.59633,1
Crime,Nomos,31,16644,4.68612,1
Crime,Nomos,32,16644,4.585,1
Crime,Nomos,33,16644,4.61504,1
Crime,Nomos,34,16644,4.56113,1
Crime,Nomos,35,16644,4.83287,1
Crime,Nomos,36,16644,4.57671,1
Crime,Nomos,37,16644,4.6555,1
Crime,Nomos,38,16644,4.71379,1
Crime,Nomos,39,16644,4.69379,1
Crime,Nomos,40,16644,4.77921,1
Crime,Nomos,41,16644,4.655,1
Crime,Nomos,42,16644,4.9595,1
Crime,Nomos,43,16644,4.70921,1
Crime,Nomos,44,16644,4.69612,1
Crime,Nomos,45,16644,4.73513,1
Crime,Nomos,46,16644,4.9025,1
Crime,Nomos,47,16644,4.77375,1
Crime,Nomos,48,16644,4.69492,1
Crime,Nomos,49,16644,4.81483,1
Crime,Nomos,50,16644,4.92667,1
Crime,Nomos,51,16644,4.80917,1
Crime,Nomos,52,16644,4.88583,1
Crime,Nomos,53,16644,4.95712,1
Crime,Nomos,54,16644,4.67771,1
Crime,Nomos,55,16644,4.62775,1
Crime,Nomos,56,16644,4.84496,1
Crime,Nomos,57,16644,4.76837,1
Crime,Nomos,58,16644,4.80346,1
Crime,Nomos,59,16644,4.6505,1
Crime,Nomos,60,16644,4.67404,1
Crime,Nomos,61,16644,4.60329,1
Crime,Nomos,62,16644,4.65158,1
Crime,Nomos,63,16644,4.85979,1
Crime,Nomos,64,16644,4.84362,1
Crime,Nomos,65,16644,4.75383,1
Crime,Nomos,66,16644,5.14371,1
Crime,Nomos,67,16644,6.358,1
Crime,Nomos,68,16644,4.97046,1
Crime,Nomos,69,16644,4.83279,1
Crime,Nomos,70,16644,4.64125,1
Crime,Nomos,71,16644,4.6295,1
Crime,Nomos,72,16644,4.73475,1
Crime,Nomos,73,16644,5.16721,1
Crime,Nomos,74,16644,4.89296,1
Crime,Nomos,75,16644,4.65008,1
Crime,Nomos,76,16644,4.71908,1
Crime,Nomos,77,16644,4.61446,1
Crime,Nomos,78,16644,4.732,1
Crime,Nomos,79,16644,4.63367,1
Crime,Nomos,80,16644,4.726,1
Crime,Nomos,81,16644,5.07075,1
Crime,Nomos,82,16644,5.19542,1
Crime,Nomos,83,16644,4.62988,1
Crime,Nomos,84,16644,4.66921,1
Crime,Nomos,85,16644,4.776,1
Crime,Nomos,86,16644,4.81938,1
Crime,Nomos,87,16644,4.87408,1
Crime,Nomos,88,16644,4.92533,1
Crime,Nomos,89,16644,4.86425,1
Crime,Nomos,90,16644,4.72375,1
Crime,Nomos,91,16644,4.81692,1
Crime,Nomos,92,16644,4.97471,1
Crime,Nomos,93,16644,4.91658,1
Crime,Nomos,94,16644,4.82908,1
Crime,Nomos,95,16644,4.92262,1
Crime,Nomos,96,16644,4.74892,1
Crime,Nomos,97,16644,4.73746,1
Crime,Nomos,98,16644,4.73004,1
Crime,Nomos,99,16644,4.72688,1
Crime,Nomos,100,16644,4.62883,1
Crime,Nomos,101,16644,4.69163,1
Crime,Nomos,102,16644,4.83863,1
Crime,Nomos,103,16644,4.55429,1
Crime,Nomos,104,16644,4.80712,1
Crime,Nomos,105,16644,4.70042,1
Crime,Nomos,106,16644,4.61529,1
Crime,Nomos,107,16644,4.72,1
Crime,Nomos,108,16644,4.71846,1
Crime,Nomos,109,16644,4.61396,1
Crime,Nomos,110,16644,4.599,1
Crime,Nomos,111,16644,4.70312,1
Crime,Nomos,112,16644,4.72925,1
Crime,Nomos,113,16644,4.62671,1
Crime,Nomos,114,16644,4.74817,1
Crime,Nomos,115,16644,4.86212,1
Crime,Nomos,116,16644,4.83579,1
Crime,Nomos,117,16644,4.66721,1
Crime,Nomos,118,16644,4.64996,1
Crime,Nomos,119,16644,4.74129,1
Crime,Nomos,120,16644,4.73721,1
Crime,Nomos,121,16644,4.62342,1
Crime,Nomos,122,16644,4.59771,1
Crime,Nomos,123,16644,4.73729,1
Crime,Nomos,124,16644,4.68067,1
Crime,Nomos,125,16644,4.504,1
Crime,Nomos,126,16644,4.49054,1
Crime,Nomos,127,16644,4.81204,1
Crime,Nomos,128,16644,4.76046,1
Crime,Nomos,129,16644,4.61383,1
Crime,Nomos,130,16644,4.78821,1
Crime,Nomos,131,16644,4.73046,1
Crime,Nomos,132,16644,4.68438,1
Crime,Nomos,133,16644,4.53696,1
Crime,Nomos,134,16644,4.60825,1
Crime,Nomos,135,16644,4.63046,1
Crime,Nomos,136,16644,4.60125,1
Crime,Nomos,137,16644,4.79125,1
Crime,Nomos,138,16644,4.73675,1
Crime,Nomos,139,16644,4.87671,1
Crime,Nomos,140,16644,4.64037,1
Crime,Nomos,141,16644,4.62629,1
Crime,Nomos,142,16644,4.78325,1
Crime,Nomos,143,16644,4.63075,1
Crime,Nomos,144,16644,4.79821,1
Crime,Nomos,145,16644,4.98558,1
Crime,Nomos,146,16644,4.68604,1
Crime,Nomos,147,16644,4.76175,1
Crime,Nomos,148,16644,4.79325,1
Crime,Nomos,149,16644,4.7665,1
Crime,Nomos,150,16644,4.84683,1
Crime,Nomos,151,16644,4.63667,1
Crime,Nomos,152,16644,4.82763,1
Crime,Nomos,153,16644,4.81321,1
Crime,Nomos,154,16644,4.80954,1
Crime,Nomos,155,16644,4.92171,1
Crime,Nomos,156,16644,4.70408,1
Crime,Nomos,157,16644,4.803,1
Crime,Nomos,158,16644,4.69625,1
Crime,Nomos,159,16644,4.69033,1
Crime,Nomos,160,16644,4.85579,1
Crime,Nomos,161,16644,4.76688,1
Crime,Nomos,162,16644,4.71083,1
Crime,Nomos,163,16644,4.5975,1
Crime,Nomos,164,16644,4.83287,1
Crime,Nomos,165,16644,4.67292,1
Crime,Nomos,166,16644,4.79029,1
Crime,Nomos,167,16644,5.20017,1
Crime,Nomos,168,16644,4.92879,1
Crime,Nomos,169,16644,4.97037,1
Crime,Nomos,170,16644,5.15775,1
Crime,Nomos,171,16644,4.92171,1
Crime,Nomos,172,16644,4.86754,1
Crime,Nomos,173,16644,4.71112,1
Crime,Nomos,174,16644,4.63246,1
Crime,Nomos,175,16644,4.67812,1
Crime,Nomos,176,16644,4.65517,1
Crime,Nomos,177,16644,4.70312,1
Crime,Nomos,178,16644,4.59075,1
Crime,Nomos,179,16644,4.83433,1
Crime,Nomos,180,16644,4.65992,1
Crime,Nomos,181,16644,4.75325,1
Crime,Nomos,182,16644,4.73833,1
Crime,Nomos,183,16644,4.71854,1
Crime,Nomos,184,16644,4.99763,1
Crime,Nomos,185,16644,4.61792,1
Crime,Nomos,186,16644,4.69004,1
Crime,Nomos,187,16644,4.65221,1
Crime,Nomos,188,16644,4.59571,1
Crime,Nomos,189,16644,4.69163,1
Crime,Nomos,190,16644,4.84892,1
Crime,Nomos,191,16644,4.89671,1
Crime,Nomos,192,16644,4.85508,1
Crime,Nomos,193,16644,4.897,1
Crime,Nomos,194,16644,4.78479,1
Crime,Nomos,195,16644,4.72579,1
Crime,Nomos,196,16644,5.02933,1
Crime,Nomos,197,16644,4.98708,1
Crime,Nomos,198,16644,4.80308,1
Crime,Nomos,199,16644,4.79313,1
Crime,Nomos,200,16644,4.72967,1
Crime,Nomos,201,16644,4.76387,1
Crime,Nomos,202,16644,4.79729,1
Crime,Nomos,203,16644,4.93592,1
Crime,Nomos,204,16644,4.95717,1
Crime,Nomos,205,16644,4.71008,1
Crime,Nomos,206,16644,4.83033,1
Crime,Nomos,207,16644,4.78417,1
Crime,Nomos,208,16644,4.82963,1
Crime,Nomos,209,16644,4.75258,1
Crime,Nomos,210,16644,4.97529,1
Crime,Nomos,211,16644,4.70596,1
Crime,Nomos,212,16644,4.98496,1
Crime,Nomos,213,16644,4.81654,1
Crime,Nomos,214,16644,4.81071,1
Crime,Nomos,215,16644,4.88129,1
Crime,Nomos,216,16644,4.66883,1
Crime,Nomos,217,16644,4.69313,1
Crime,Nomos,218,16644,4.91408,1
Crime,Nomos,219,16644,4.85458,1
Crime,Nomos,220,16644,4.87367,1
Crime,Nomos,221,16644,4.82396,1
Crime,Nomos,222,16644,4.91433,1
Crime,Nomos,223,16644,4.70137,1
Crime,Nomos,224,16644,4.8125,1
Crime,Nomos,225,16644,4.71092,1
Crime,Nomos,226,16644,5.02146,1
Crime,Nomos,227,16644,4.94592,1
Crime,Nomos,228,16644,4.76383,1
Crime,Nomos,229,16644,4.68988,1
Crime,Nomos,230,16644,4.85,1
Crime,Nomos,231,16644,4.72208,1
Crime,Nomos,232,16644,4.81988,1
Crime,Nomos,233,16644,4.755,1
Crime,Nomos,234,16644,4.69729,1
Crime,Nomos,235,16644,4.85046,1
Crime,Nomos,236,16644,4.80996,1
Crime,Nomos,237,16644,4.91792,1
Crime,Nomos,238,16644,4.70263,1
Crime,Nomos,239,16644,4.70821,1
Crime,Nomos,240,16644,4.78321,1
Crime,Nomos,241,16644,4.91212,1
Crime,Nomos,242,16644,4.71592,1
Crime,Nomos,243,16644,4.81246,1
Crime,Nomos,244,16644,4.9145,1
Crime,Nomos,245,16644,4.70987,1
Crime,Nomos,246,16644,4.815,1
