dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Enron,Nomos,10,26946,27.9513,1
Enron,Nomos,37,26946,71.7673,1
Enron,Nomos,38,26946,4.63312,1
Enron,Nomos,39,26946,4.73037,1
Enron,Nomos,40,26946,4.88375,1
Enron,Nomos,41,26946,4.76708,1
Enron,Nomos,42,26946,4.77038,1
Enron,Nomos,43,26946,4.83779,1
Enron,Nomos,44,26946,4.87637,1
Enron,Nomos,45,26946,4.8695,1
Enron,Nomos,46,26946,4.65054,1
Enron,Nomos,47,26946,4.63287,1
Enron,Nomos,48,26946,4.64333,1
Enron,Nomos,49,26946,4.74887,1
Enron,Nomos,50,26946,4.73679,1
Enron,Nomos,51,26946,4.6125,1
Enron,Nomos,52,26946,4.72858,1
Enron,Nomos,53,26946,4.73671,1
Enron,Nomos,54,26946,4.74321,1
Enron,Nomos,55,26946,4.63342,1
Enron,Nomos,56,26946,4.744,1
Enron,Nomos,57,26946,4.75046,1
Enron,Nomos,58,26946,4.6525,1
Enron,Nomos,59,26946,4.73904,1
Enron,Nomos,60,26946,4.62092,1
Enron,Nomos,61,26946,4.72083,1
Enron,Nomos,62,26946,4.64104,1
Enron,Nomos,63,26946,5.03396,1
Enron,Nomos,64,26946,4.89708,1
Enron,Nomos,65,26946,4.74712,1
Enron,Nomos,66,26946,4.64721,1
Enron,Nomos,67,26946,4.84754,1
Enron,Nomos,68,26946,4.7975,1
Enron,Nomos,69,26946,4.97383,1
Enron,Nomos,70,26946,4.83321,1
Enron,Nomos,71,26946,4.64142,1
Enron,Nomos,72,26946,4.77396,1
Enron,Nomos,73,26946,4.95125,1
Enron,Nomos,74,26946,4.79933,1
Enron,Nomos,75,26946,4.79658,1
Enron,Nomos,76,26946,4.79483,1
Enron,Nomos,77,26946,4.67812,1
Enron,Nomos,78,26946,4.79983,1
Enron,Nomos,79,26946,4.66983,1
Enron,Nomos,80,26946,4.77758,1
Enron,Nomos,81,26946,4.69942,1
Enron,Nomos,82,26946,4.91392,1
Enron,Nomos,83,26946,4.79558,1
Enron,Nomos,84,26946,4.72992,1
Enron,Nomos,85,26946,4.714,1
Enron,Nomos,86,26946,4.69442,1
Enron,Nomos,87,26946,4.86892,1
Enron,Nomos,88,26946,4.67792,1
Enron,Nomos,89,26946,4.65337,1
Enron,Nomos,90,26946,4.65921,1
Enron,Nomos,91,26946,4.74342,1
Enron,Nomos,92,26946,4.73629,1
Enron,Nomos,93,26946,4.73171,1
Enron,Nomos,94,26946,4.62262,1
Enron,Nomos,95,26946,4.63492,1
Enron,Nomos,96,26946,4.63004,1
Enron,Nomos,97,26946,4.72442,1
Enron,Nomos,98,26946,4.63912,1
Enron,Nomos,99,26946,4.64392,1
Enron,Nomos,100,26946,4.73858,1
Enron,Nomos,101,26946,4.62058,1
Enron,Nomos,102,26946,4.61292,1
Enron,Nomos,103,26946,4.62554,1
Enron,Nomos,104,26946,4.76462,1
Enron,Nomos,105,26946,4.63475,1
Enron,Nomos,106,26946,4.826,1
Enron,Nomos,107,26946,4.63771,1
Enron,Nomos,108,26946,4.74879,1
Enron,Nomos,109,26946,4.72683,1
Enron,Nomos,110,26946,4.75225,1
Enron,Nomos,111,26946,4.63379,1
Enron,Nomos,112,26946,4.63521,1
Enron,Nomos,113,26946,4.73929,1
Enron,Nomos,114,26946,4.74079,1
Enron,Nomos,115,26946,4.74808,1
Enron,Nomos,116,26946,4.74471,1
Enron,Nomos,117,26946,4.67342,1
Enron,Nomos,118,26946,4.76454,1
Enron,Nomos,119,26946,4.74629,1
Enron,Nomos,120,26946,4.59163,1
Enron,Nomos,121,26946,4.62962,1
Enron,Nomos,122,26946,4.72238,1
Enron,Nomos,123,26946,4.64125,1
Enron,Nomos,124,26946,4.98387,1
Enron,Nomos,125,26946,4.99504,1
Enron,Nomos,126,26946,4.99879,1
Enron,Nomos,127,26946,5.01508,1
Enron,Nomos,128,26946,4.8985,1
Enron,Nomos,129,26946,4.98683,1
Enron,Nomos,130,26946,4.87712,1
Enron,Nomos,131,26946,4.79037,1
Enron,Nomos,132,26946,4.88325,1
Enron,Nomos,133,26946,4.70829,1
Enron,Nomos,134,26946,5.04946,1
Enron,Nomos,135,26946,4.97679,1
Enron,Nomos,136,26946,4.87867,1
Enron,Nomos,137,26946,4.99654,1
Enron,Nomos,138,26946,4.97879,1
Enron,Nomos,139,26946,4.92296,1
Enron,Nomos,140,26946,4.94796,1
Enron,Nomos,141,26946,5.05833,1
Enron,Nomos,142,26946,4.88833,1
Enron,Nomos,143,26946,4.94433,1
Enron,Nomos,144,26946,4.95725,1
Enron,Nomos,145,26946,4.99829,1
Enron,Nomos,146,26946,4.95054,1
Enron,Nomos,147,26946,4.83021,1
Enron,Nomos,148,26946,4.98758,1
Enron,Nomos,149,26946,5.02879,1
Enron,Nomos,150,26946,4.95975,1
Enron,Nomos,151,26946,4.89079,1
Enron,Nomos,152,26946,4.94825,1
Enron,Nomos,153,26946,4.85267,1
Enron,Nomos,154,26946,4.89333,1
Enron,Nomos,155,26946,4.83387,1
Enron,Nomos,156,26946,4.90433,1
Enron,Nomos,157,26946,4.93804,1
Enron,Nomos,158,26946,4.86762,1
Enron,Nomos,159,26946,4.92525,1
Enron,Nomos,160,26946,4.86337,1
Enron,Nomos,161,26946,4.89363,1
Enron,Nomos,162,26946,4.94912,1
Enron,Nomos,163,26946,4.94529,1
Enron,Nomos,164,26946,4.94612,1
Enron,Nomos,165,26946,4.99133,1
Enron,Nomos,166,26946,4.88767,1
Enron,Nomos,167,26946,4.86604,1
Enron,Nomos,168,26946,4.97017,1
Enron,Nomos,169,26946,16.9973,1
Enron,Nomos,170,26946,8.25946,1
Enron,Nomos,171,26946,5.13933,1
Enron,Nomos,172,26946,4.96863,1
Enron,Nomos,173,26946,4.79862,1
Enron,Nomos,174,26946,4.99196,1
Enron,Nomos,175,26946,4.89238,1
Enron,Nomos,176,26946,4.78662,1
Enron,Nomos,177,26946,5.29342,1
Enron,Nomos,178,26946,6.59321,1
Enron,Nomos,179,26946,5.00454,1
Enron,Nomos,180,26946,4.80058,1
Enron,Nomos,181,26946,4.78367,1
Enron,Nomos,182,26946,4.99717,1
Enron,Nomos,183,26946,5.09046,1
Enron,Nomos,184,26946,4.86212,1
Enron,Nomos,185,26946,4.89221,1
Enron,Nomos,186,26946,5.00517,1
Enron,Nomos,187,26946,4.99108,1
Enron,Nomos,188,26946,4.88137,1
Enron,Nomos,189,26946,4.94188,1
Enron,Nomos,190,26946,4.762,1
Enron,Nomos,191,26946,4.79908,1
Enron,Nomos,192,26946,4.78696,1
Enron,Nomos,193,26946,4.74113,1
Enron,Nomos,194,26946,4.70808,1
Enron,Nomos,195,26946,4.71358,1
Enron,Nomos,196,26946,4.71225,1
Enron,Nomos,197,26946,4.92525,1
Enron,Nomos,198,26946,4.71829,1
Enron,Nomos,199,26946,4.70067,1
Enron,Nomos,200,26946,4.75446,1
Enron,Nomos,201,26946,4.7085,1
Enron,Nomos,202,26946,4.82625,1
Enron,Nomos,203,26946,4.93021,1
Enron,Nomos,204,26946,4.94429,1
Enron,Nomos,205,26946,4.73767,1
Enron,Nomos,206,26946,4.81975,1
Enron,Nomos,207,26946,4.7285,1
Enron,Nomos,208,26946,4.97846,1
Enron,Nomos,209,26946,5.12338,1
Enron,Nomos,210,26946,4.98721,1
Enron,Nomos,211,26946,4.89,1
Enron,Nomos,212,26946,5.10696,1
Enron,Nomos,213,26946,4.93283,1
Enron,Nomos,214,26946,5.09992,1
Enron,Nomos,215,26946,4.95421,1
Enron,Nomos,216,26946,5.16379,1
Enron,Nomos,217,26946,4.78412,1
Enron,Nomos,218,26946,4.73987,1
Enron,Nomos,219,26946,4.93208,1
Enron,Nomos,220,26946,4.93762,1
Enron,Nomos,221,26946,4.84637,1
Enron,Nomos,222,26946,4.86492,1
Enron,Nomos,223,26946,4.76229,1
Enron,Nomos,224,26946,4.81896,1
Enron,Nomos,225,26946,4.86146,1
Enron,Nomos,226,26946,4.89429,1
Enron,Nomos,227,26946,4.97796,1
Enron,Nomos,228,26946,4.99617,1
Enron,Nomos,229,26946,4.99154,1
Enron,Nomos,230,26946,5.61662,1
Enron,Nomos,231,26946,5.10842,1
Enron,Nomos,232,26946,5.00633,1
Enron,Nomos,233,26946,4.91242,1
Enron,Nomos,234,26946,5.09154,1
Enron,Nomos,235,26946,4.96075,1
Enron,Nomos,236,26946,4.86646,1
Enron,Nomos,237,26946,4.86575,1
Enron,Nomos,238,26946,5.093,1
Enron,Nomos,239,26946,4.99971,1
Enron,Nomos,240,26946,4.85746,1
Enron,Nomos,241,26946,11.1162,1
Enron,Nomos,242,26946,11.7705,1
Enron,Nomos,243,26946,4.819,1
Enron,Nomos,244,26946,4.86108,1
Enron,Nomos,245,26946,4.75629,1
Enron,Nomos,246,26946,4.71179,1
Enron,Nomos,247,26946,4.83467,1
Enron,Nomos,248,26946,4.83362,1
Enron,Nomos,249,26946,4.914,1
Enron,Nomos,250,26946,4.69308,1
Enron,Nomos,251,26946,4.71592,1
Enron,Nomos,252,26946,4.70367,1
Enron,Nomos,253,26946,4.80858,1
Enron,Nomos,254,26946,4.71075,1
Enron,Nomos,255,26946,4.73162,1
Enron,Nomos,256,26946,5.24246,1
Enron,Nomos,257,26946,5.0215,1
Enron,Nomos,258,26946,4.99658,1
Enron,Nomos,259,26946,4.99042,1
Enron,Nomos,260,26946,4.71504,1
Enron,Nomos,261,26946,4.82979,1
Enron,Nomos,262,26946,4.72187,1
Enron,Nomos,263,26946,4.74396,1
Enron,Nomos,264,26946,4.851,1
Enron,Nomos,265,26946,4.86767,1
Enron,Nomos,266,26946,4.7145,1
Enron,Nomos,267,26946,4.73842,1
Enron,Nomos,268,26946,4.71154,1
Enron,Nomos,269,26946,4.81471,1
Enron,Nomos,270,26946,6.19133,1
Enron,Nomos,271,26946,5.09721,1
Enron,Nomos,272,26946,5.74254,1
Enron,Nomos,273,26946,5.1745,1
Enron,Nomos,274,26946,4.92779,1
Enron,Nomos,275,26946,5.12767,1
Enron,Nomos,276,26946,5.09987,1
Enron,Nomos,277,26946,5.03875,1
Enron,Nomos,278,26946,7.15354,1
Enron,Nomos,279,26946,8.14908,1
Enron,Nomos,280,26946,4.68813,1
Enron,Nomos,281,26946,4.70575,1
Enron,Nomos,282,26946,4.71937,1
Enron,Nomos,283,26946,4.81829,1
Enron,Nomos,284,26946,4.82475,1
Enron,Nomos,285,26946,4.81058,1
Enron,Nomos,286,26946,4.80175,1
Enron,Nomos,287,26946,4.86991,1
Enron,Nomos,288,26946,4.86504,1
Enron,Nomos,289,26946,4.75533,1
Enron,Nomos,290,26946,4.78787,1
Enron,Nomos,291,26946,4.75788,1
Enron,Nomos,292,26946,4.64183,1
Enron,Nomos,293,26946,4.63608,1
Enron,Nomos,294,26946,4.73588,1
Enron,Nomos,295,26946,4.75238,1
Enron,Nomos,296,26946,4.63258,1
Enron,Nomos,297,26946,4.72583,1
Enron,Nomos,298,26946,4.65117,1
Enron,Nomos,299,26946,4.74263,1
Enron,Nomos,300,26946,4.83904,1
Enron,Nomos,301,26946,4.74558,1
