dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Wiki,Nomos,1,9738,4.90679,1
Wiki,Nomos,2,9738,4.64558,1
Wiki,Nomos,3,9738,4.82033,1
Wiki,Nomos,4,9738,4.63946,1
Wiki,Nomos,5,9738,4.71846,1
Wiki,Nomos,6,9738,4.61183,1
Wiki,Nomos,7,9738,4.61529,1
Wiki,Nomos,8,9738,4.622,1
Wiki,Nomos,9,9738,4.82204,1
Wiki,Nomos,10,9738,4.60262,1
Wiki,Nomos,11,9738,4.7065,1
Wiki,Nomos,12,9738,4.623,1
Wiki,Nomos,13,9738,4.80821,1
Wiki,Nomos,14,9738,4.71629,1
Wiki,Nomos,15,9738,4.7015,1
Wiki,Nomos,16,9738,4.72296,1
Wiki,Nomos,17,9738,4.61471,1
Wiki,Nomos,18,9738,4.70579,1
Wiki,Nomos,19,9738,4.71737,1
Wiki,Nomos,20,9738,4.60996,1
Wiki,Nomos,21,9738,4.72204,1
Wiki,Nomos,22,9738,4.61779,1
Wiki,Nomos,23,9738,4.7245,1
Wiki,Nomos,24,9738,4.72792,1
Wiki,Nomos,25,9738,4.72212,1
Wiki,Nomos,26,9738,4.80888,1
Wiki,Nomos,27,9738,4.72792,1
Wiki,Nomos,28,9738,4.60921,1
Wiki,Nomos,29,9738,4.81717,1
Wiki,Nomos,30,9738,4.71012,1
Wiki,Nomos,31,9738,4.72842,1
Wiki,Nomos,32,9738,4.65188,1
Wiki,Nomos,33,9738,4.63312,1
Wiki,Nomos,34,9738,4.71667,1
Wiki,Nomos,35,9738,4.63029,1
Wiki,Nomos,36,9738,4.72733,1
Wiki,Nomos,37,9738,4.82825,1
Wiki,Nomos,38,9738,4.73083,1
Wiki,Nomos,39,9738,4.61937,1
Wiki,Nomos,40,9738,4.72412,1
Wiki,Nomos,41,9738,4.66287,1
Wiki,Nomos,42,9738,4.70175,1
Wiki,Nomos,43,9738,4.61496,1
Wiki,Nomos,44,9738,4.71346,1
Wiki,Nomos,45,9738,4.67833,1
Wiki,Nomos,46,9738,4.99708,1
Wiki,Nomos,47,9738,4.66721,1
Wiki,Nomos,48,9738,4.87162,1
Wiki,Nomos,49,9738,4.77817,1
Wiki,Nomos,50,9738,4.76379,1
Wiki,Nomos,51,9738,4.67817,1
Wiki,Nomos,52,9738,4.75408,1
Wiki,Nomos,53,9738,4.90175,1
Wiki,Nomos,54,9738,4.90283,1
Wiki,Nomos,55,9738,4.80192,1
Wiki,Nomos,56,9738,4.86429,1
Wiki,Nomos,57,9738,4.89667,1
Wiki,Nomos,58,9738,4.96908,1
Wiki,Nomos,59,9738,4.81158,1
Wiki,Nomos,60,9738,4.88613,1
Wiki,Nomos,61,9738,4.71958,1
Wiki,Nomos,62,9738,4.98275,1
Wiki,Nomos,63,9738,4.90625,1
Wiki,Nomos,64,9738,4.84858,1
Wiki,Nomos,65,9738,5.02371,1
Wiki,Nomos,66,9738,4.92771,1
Wiki,Nomos,67,9738,4.70087,1
Wiki,Nomos,68,9738,4.71546,1
Wiki,Nomos,69,9738,4.69621,1
Wiki,Nomos,70,9738,4.79471,1
Wiki,Nomos,71,9738,4.7045,1
Wiki,Nomos,72,9738,4.86133,1
Wiki,Nomos,73,9738,4.83713,1
Wiki,Nomos,74,9738,4.71162,1
Wiki,Nomos,75,9738,4.80375,1
Wiki,Nomos,76,9738,4.69275,1
Wiki,Nomos,77,9738,4.91638,1
Wiki,Nomos,78,9738,4.81388,1
Wiki,Nomos,79,9738,4.81446,1
Wiki,Nomos,80,9738,4.82504,1
Wiki,Nomos,81,9738,4.82213,1
Wiki,Nomos,82,9738,4.71858,1
Wiki,Nomos,83,9738,4.80633,1
Wiki,Nomos,84,9738,4.72425,1
Wiki,Nomos,85,9738,4.69546,1
Wiki,Nomos,86,9738,4.90679,1
Wiki,Nomos,87,9738,4.79962,1
Wiki,Nomos,88,9738,4.80317,1
Wiki,Nomos,89,9738,4.71229,1
Wiki,Nomos,90,9738,4.70621,1
Wiki,Nomos,91,9738,4.7035,1
Wiki,Nomos,92,9738,4.93375,1
Wiki,Nomos,93,9738,4.81713,1
Wiki,Nomos,94,9738,4.72183,1
Wiki,Nomos,95,9738,4.72067,1
Wiki,Nomos,96,9738,4.71792,1
Wiki,Nomos,97,9738,4.74242,1
