dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Crime,VQNomos,1,16644,6.52688,1
Crime,VQNomos,2,16644,7.10467,1
Crime,VQNomos,3,16644,5.3635,1
Crime,VQNomos,4,16644,5.30154,1
Crime,VQNomos,5,16644,5.01375,1
Crime,VQNomos,6,16644,5.11796,1
Crime,VQNomos,7,16644,5.12796,1
Crime,VQNomos,8,16644,5.06558,1
Crime,VQNomos,9,16644,5.05975,1
Crime,VQNomos,10,16644,7.191,1
Crime,VQNomos,11,16644,5.86413,1
Crime,VQNomos,12,16644,5.43679,1
Crime,VQNomos,13,16644,5.322,1
Crime,VQNomos,14,16644,5.21488,1
Crime,VQNomos,15,16644,5.23717,1
Crime,VQNomos,16,16644,5.05296,1
Crime,VQNomos,17,16644,5.15767,1
Crime,VQNomos,18,16644,5.22104,1
Crime,VQNomos,19,16644,5.174,1
Crime,VQNomos,20,16644,5.16733,1
Crime,VQNomos,21,16644,6.54717,1
Crime,VQNomos,22,16644,5.43796,1
Crime,VQNomos,23,16644,5.19883,1
Crime,VQNomos,24,16644,5.28258,1
Crime,VQNomos,25,16644,5.25529,1
Crime,VQNomos,26,16644,5.31033,1
Crime,VQNomos,27,16644,5.24342,1
Crime,VQNomos,28,16644,5.00433,1
Crime,VQNomos,29,16644,5.14029,1
Crime,VQNomos,30,16644,7.17388,1
Crime,VQNomos,31,16644,5.34117,1
Crime,VQNomos,32,16644,5.06025,1
Crime,VQNomos,33,16644,5.22525,1
Crime,VQNomos,34,16644,5.11133,1
Crime,VQNomos,35,16644,5.14992,1
Crime,VQNomos,36,16644,4.95792,1
Crime,VQNomos,37,16644,5.17821,1
Crime,VQNomos,38,16644,5.05267,1
Crime,VQNomos,39,16644,4.95733,1
Crime,VQNomos,40,16644,5.38383,1
Crime,VQNomos,41,16644,5.07121,1
Crime,VQNomos,42,16644,5.00762,1
Crime,VQNomos,43,16644,5.12267,1
Crime,VQNomos,44,16644,5.08225,1
Crime,VQNomos,45,16644,5.06483,1
Crime,VQNomos,46,16644,5.08442,1
Crime,VQNomos,47,16644,4.97304,1
Crime,VQNomos,48,16644,4.95683,1
Crime,VQNomos,49,16644,5.05283,1
Crime,VQNomos,50,16644,5.06687,1
Crime,VQNomos,51,16644,5.05558,1
Crime,VQNomos,52,16644,4.9875,1
Crime,VQNomos,53,16644,5.23117,1
Crime,VQNomos,54,16644,5.15371,1
Crime,VQNomos,55,16644,4.95917,1
Crime,VQNomos,56,16644,4.98554,1
Crime,VQNomos,57,16644,5.135,1
Crime,VQNomos,58,16644,4.98571,1
Crime,VQNomos,59,16644,5.11867,1
Crime,VQNomos,60,16644,5.13708,1
Crime,VQNomos,61,16644,4.991,1
Crime,VQNomos,62,16644,5.03866,1
Crime,VQNomos,63,16644,5.1455,1
Crime,VQNomos,64,16644,5.2075,1
Crime,VQNomos,65,16644,5.07354,1
Crime,VQNomos,66,16644,5.12808,1
Crime,VQNomos,67,16644,5.32,1
Crime,VQNomos,68,16644,5.30058,1
Crime,VQNomos,69,16644,5.09537,1
Crime,VQNomos,70,16644,5.10958,1
Crime,VQNomos,71,16644,4.96446,1
Crime,VQNomos,72,16644,5.05346,1
Crime,VQNomos,73,16644,5.11792,1
Crime,VQNomos,74,16644,5.13458,1
Crime,VQNomos,75,16644,4.99225,1
Crime,VQNomos,76,16644,5.27971,1
Crime,VQNomos,77,16644,5.9405,1
Crime,VQNomos,78,16644,5.30975,1
Crime,VQNomos,79,16644,5.03737,1
Crime,VQNomos,80,16644,5.12917,1
Crime,VQNomos,81,16644,5.24225,1
Crime,VQNomos,82,16644,5.26596,1
Crime,VQNomos,83,16644,5.00471,1
Crime,VQNomos,84,16644,5.09971,1
Crime,VQNomos,85,16644,5.09434,1
Crime,VQNomos,86,16644,5.12087,1
Crime,VQNomos,87,16644,5.07975,1
Crime,VQNomos,88,16644,4.94192,1
Crime,VQNomos,89,16644,5.07075,1
Crime,VQNomos,90,16644,5.06675,1
Crime,VQNomos,91,16644,5.01404,1
Crime,VQNomos,92,16644,5.26325,1
Crime,VQNomos,93,16644,5.21083,1
Crime,VQNomos,94,16644,6.18729,1
Crime,VQNomos,95,16644,5.31625,1
Crime,VQNomos,96,16644,5.48392,1
Crime,VQNomos,97,16644,5.21092,1
Crime,VQNomos,98,16644,5.17967,1
Crime,VQNomos,99,16644,5.16004,1
Crime,VQNomos,100,16644,5.08787,1
Crime,VQNomos,101,16644,5.07238,1
Crime,VQNomos,102,16644,5.01146,1
Crime,VQNomos,103,16644,4.97367,1
Crime,VQNomos,104,16644,5.05729,1
Crime,VQNomos,105,16644,5.36946,1
Crime,VQNomos,106,16644,5.21621,1
Crime,VQNomos,107,16644,5.16442,1
Crime,VQNomos,108,16644,5.03517,1
Crime,VQNomos,109,16644,5.23638,1
Crime,VQNomos,110,16644,5.17146,1
Crime,VQNomos,111,16644,5.10813,1
Crime,VQNomos,112,16644,5.18938,1
Crime,VQNomos,113,16644,5.07704,1
Crime,VQNomos,114,16644,5.24108,1
Crime,VQNomos,115,16644,5.2465,1
Crime,VQNomos,116,16644,5.28658,1
Crime,VQNomos,117,16644,5.25138,1
Crime,VQNomos,118,16644,5.272,1
Crime,VQNomos,119,16644,5.13862,1
Crime,VQNomos,120,16644,5.03575,1
Crime,VQNomos,121,16644,5.19308,1
Crime,VQNomos,122,16644,5.0115,1
Crime,VQNomos,123,16644,9.37029,1
Crime,VQNomos,124,16644,5.47229,1
Crime,VQNomos,125,16644,5.19938,1
Crime,VQNomos,126,16644,5.39308,1
Crime,VQNomos,127,16644,5.06054,1
Crime,VQNomos,128,16644,5.24258,1
Crime,VQNomos,129,16644,5.19763,1
Crime,VQNomos,130,16644,7.03017,1
Crime,VQNomos,131,16644,5.25058,1
Crime,VQNomos,132,16644,5.27729,1
