Scheme,N,Keywords,QuerySize,SetupTime,UpdateTime,SearchTime,Storage
Nomos,100,100,10,1.189,4.18444,2.3982,21200
MC-ODXT,100,100,10,0.094375,3.61584,4.36629,21200
VQNomos,100,100,10,0.064,4.2632,2.624,53968
Nomos,500,100,10,0.061,4.18989,2.4027,21200
MC-ODXT,500,100,10,0.079208,3.58321,4.34507,21200
VQNomos,500,100,10,0.058,4.25446,2.5948,53968
Nomos,1000,100,10,0.06,4.15072,2.3931,21200
MC-ODXT,1000,100,10,0.090125,3.5734,4.31771,21200
VQNomos,1000,100,10,0.057,4.25388,2.6016,53968
Nomos,5000,100,10,0.06,4.15478,2.4075,21200
MC-ODXT,5000,100,10,0.084333,3.57712,4.36663,21200
VQNomos,5000,100,10,0.06,4.31608,2.6041,53968
